layer,tentou_resolver,por_que_falhou_como_primaria,contexto_util,papel_sob_legstate,status
Regime/Context/Fuel v0/v1,separar bull-run de bear/late-top por feature única/multivariada,dist_supply forte A/B mas falha âncoras (artefato sem overhead); univariado,dist_supply/dist_d1_supply condicionados a has_overhead + leg-state + sup_cat,feature SECUNDÁRIA condicional à leg-state,RETEST_UNDER_LEGSTATE
Has-overhead-aware composite,desconflacionar no-overhead-bullish vs supply_colada,exigia broken_before p/ markup (raro nos winners); pior que baseline,"has_overhead como GATE dentro da leitura de supply, após leg-state",support/conflict no Supply specialist,ALIVE (necessário-não-suficiente)
Macro Structural Reading Engine v1 (9 esp.),leitura macro/contexto por confluência,preservou bull 12/14 MAS bloqueio fraco (B 5/18),É um BOM leitor de contexto bull/regime,CAMADA DE CONTEXTO BULL primária (manter; leg-state adiciona bear-block+sweep),ALIVE (leitor de contexto)
Confluence v2 macro override / late-top,bloquear via macro_broken + late-top,over-bloqueou A (late-top matou winners); não corrigiu B (10/13 não macro_broken),macro_broken só relevante p/ 3 casos genuínos; late-top-via-legpos é falso caminho,GUARD-RAIL (impedir re-overblocking; não usar legpos p/ late-top),DEAD-as-rule / ALIVE-as-lição
Entry-quality,localização-da-entrada separa A/B,entradas estruturalmente idênticas (pullback-demanda-perto-valor); não separa,dist_demand/POC-VAL/reclaim só importam DEPOIS de saber a leg,SEGUNDA CAMADA condicional (bull-leg: near-demand=bom; bear-leg: near-demand=trap),SECOND_LAYER
SVP / volumetria causal,aceitação/distribuição de valor,(não falhou) — verificado causal as-of-bar,aceitação acima/abaixo de valor como confluência,INPUT de confluência (Volumetry specialist),ALIVE (destravado)
sup_cat / pol_cat,leitura estrutural categórica de supply/polaridade,(redescoberto) — descartado antes em favor de dist_supply cru,CLEAN_SKY/NEAR_BUT_BROKEN/NEAR_AND_REJECTING etc,INPUT DE PRIMEIRA CLASSE (Supply specialist),ALIVE (1a classe)
capit+rsi,confluência de fundo/clímax,"forte in-sample, refutada OOS bear (regime-bound)","fundo/clímax APENAS no regime certo (turn/bottom), não bear-continuation","Capitulation specialist input, REGIME-BOUND",CONTEXT_ONLY/condicional
risk_sl / T34,qualidade do SL estrutural,(não é separador de leg) — entrada boa pode ter SL curto,SL curto ≠ entrada ruim; eixo próprio,"EIXO SEPARADO (Risk/SL specialist), não entrada-ruim-automática",ALIVE (eixo separado)
dist_supply / dist_demand,distância a zonas como sinal,monótono falha (mesmo valor = bull ou bear conforme contexto),condicional a leg-state + has_overhead + sup_cat,feature condicional,RETEST_UNDER_LEGSTATE
Stage A context labels,rotular contexto (8 labels),não separa A/B; rótulo único insuficiente,sinal entre muitos; não confiar como verdade,feature/evidência (não label-verdade),WEAK_ISOLATED
macro_leg_direction/phase,leg macro do packet,REFERENCE_ONLY (não computado),nenhum — substituído por leg-state via pivots,—,DEAD/FORBIDDEN
regime_B_v3 (30 campos),regime macro diário,só v3_state/dd13w testados; resto intocado,"cascade/vol/stall/sharp_drop/dist_alarm/distribution/macro_broken/breaks h4/d/w (shift D-1, comportamento não-nome)",Macro Regime specialist (evidência D-1),ALIVE (mostly RETEST)
regime_l1_v4,regime macro alternativo,não testado isolado,confluência de regime D-1,Macro Regime specialist input,ALIVE (RETEST)
legpos 30/60/90,posição na perna,alto penaliza bull-run (falso); monótono falha,condicional a momentum + leg-state (alto+bull-leg=ok; alto+bear/late=risco),feature condicional,RETEST_UNDER_LEGSTATE
hour_utc,(árvore regime_v1 pegou),"session-time, overfit, não-causal-estrutural",nenhum,—,FORBIDDEN
demand_age_bars,idade da demanda,UNAVAILABLE,nenhum,—,DEAD
SMC BOS/CHoCH + pivots,estrutura de swings,(verificados causais 1937d82); SMC esparso ~41%,backbone leg-state: pivots HH/HL vs LH/LL + SMC como shift,BACKBONE PRIMÁRIO (pivots) + shift (SMC),ALIVE (causal verificado)
