episode_id,bar_idx,batch,decision,direction,confidence,setup_type,n_pos,n_neg,decisive_reason,closest_known,ment_supply_dist,ment_supply_flag,ment_capit,ment_top,ment_demand,ment_sl,ment_macro,ment_drift
E30,55,00,REVIEW,LONG,48,bottom_reversal,6,4,"Oversold pullback with fresh bullish CHoCH and low legpos, but demand is 4.4 ATR away (not a defended reclaim) and supply overhead blocks the 2ATR target with a",E30|E17,1,1,1,0,1,1,1,0
,78,00,SKIP,NONE,35,bull_pullback,4,6,"Mid-leg extension (legpos30 95) into nearby D1 supply at 1.77 ATR after a 3+ ATR rise — no capitulation/bottom, no convergent edge for a long.",E23|E24,1,0,1,1,1,1,1,0
,116,00,REVIEW,LONG,52,demand_reclaim,6,4,"Tight V_REVERSAL demand reclaim with below-VAL acceptance and a SELL-bubble at the low, but the reclaim candle is still red and supply caps the 2ATR target at 1",E27|E1,1,1,1,0,1,1,1,0
,130,00,REVIEW,LONG,50,demand_reclaim,5,5,"Defended V_REVERSAL demand at 1.37 ATR with bullish CHoCH, but supply blocks the 2ATR target at 1.54 ATR and the reclaim candle is still red — tight risk/reward",E27|E30,1,1,1,0,1,1,1,0
,140,00,TAKE,LONG,63,demand_reclaim,7,3,"Bullish reclaim candle landing right on a defended 4H demand (0.06 ATR) after a 24pt RSI flush, with very tight 0.8ATR V_REVERSAL SL and fresh bullish CHoCH — t",E27|E17|E1,1,1,1,0,1,1,1,0
,149,00,TAKE,LONG,66,bottom_reversal,7,3,"Deep oversold capitulation (RSI min 28, drop20 3.9) with low legpos, SELL-bubble absorption at the low, bullish reclaim and tight V_REVERSAL SL while supply doe",E1|E17|E30,1,1,1,0,1,1,1,0
E27,159,00,REVIEW,LONG,54,demand_reclaim,6,5,"Defended D1 demand at 0.29 ATR with clear target room and mid legpos, but the reclaim is weak (body +0.07) on very low volume with no absorption bubbles — parti",E27|E30,1,0,0,1,1,1,1,0
,217,00,SKIP,NONE,15,late_top,1,8,"Classic TOP_EXHAUSTION: legpos90 94, RSI 75 blow-off, 9.3x volume climax with 8 LARGE buy bubbles and F_STRICT True — never long here; the only directional read",E23|E24|E15,0,0,0,1,0,1,1,0
E34,237,00,REVIEW,LONG,40,bull_pullback,4,6,Tight demand touch in an overbought macro (rsi_1d 77.5) amid an extreme ATR spike (2.71x) — the tight SL is appealing but buying into D1 overbought with a weak ,E34|E24,1,1,0,1,1,1,1,0
E15,287,00,SKIP,NONE,25,late_top,2,7,"Buying-climax top (5 LARGE buy bubbles, rsi_1d 70, legpos 73) running straight into D1 supply at 0.22 ATR with a bearish BOS — long target is capped immediately",E15|E24|E23,1,1,0,1,1,1,1,0
E1,351,00,TAKE,LONG,68,bottom_reversal,6,4,Post-crash macro washout (rsi_1d 36.5) with a fresh bullish CHoCH and a strong bullish reclaim off defended D1 demand — the classic March-2020 bottom_reversal; ,E1|E30|E17,1,1,1,0,1,1,1,0
,383,00,SKIP,NONE,18,unclear,2,6,"LATE_WIDE with an 11.4 ATR SL and demand 9.5 ATR away — no defended reclaim, no absorption, no structure trigger; this is the no-edge wide-SL profile the rubric",E39|E23,0,0,0,1,1,1,1,0
E17,391,00,TAKE,LONG,67,demand_reclaim,7,3,"Reclaim sitting right on a defended 4H demand (0.03 ATR) with a very tight 1.0ATR V_REVERSAL SL, oversold RSI, bullish CHoCH and a fully clear path to target (s",E17|E27|E30,1,0,1,0,1,1,1,0
,413,00,SKIP,NONE,15,late_top,1,6,"TOP_EXHAUSTION with RSI 77, legpos 89, range expansion 2x and 6 LARGE buy bubbles into supply at 0.85 ATR — the should-not-long top signature; F_STRICT True.",E23|E24|E15,1,1,0,1,1,0,1,0
,458,00,SKIP,NONE,22,unclear,4,6,"Oversold with a CHoCH but price is 5 ATR above its demand with a LATE_WIDE swing SL and a red reclaim candle — no defended demand reclaim, falling mid-structure",E39|E23,1,1,1,1,1,1,1,0
,493,00,SKIP,NONE,20,unclear,3,6,"Demand is 5 ATR away with a LATE_WIDE classification and immediate overhead supply (D1 0.43, 4H 1.54) capping the target — no defended reclaim and no oversold f",E39|E23,1,1,1,1,1,1,0,0
,542,00,SKIP,NONE,25,bull_pullback,4,6,Extended leg (legpos30 88) bumping D1 supply at 0.05 ATR with a fresh bearish CHoCH 0 bars ago — target immediately blocked and momentum just rolled over; no lo,E23|E24,1,0,0,0,1,0,1,0
,583,00,SKIP,NONE,28,bull_pullback,6,5,"Despite clear overhead, price is ~5 ATR above demand with a 5ATR NORMAL SL and a red reclaim candle after a sharp 25pt RSI roll-over and bearish BOS — no defend",E39|E23,1,0,1,0,1,1,1,0
,597,00,REVIEW,LONG,42,bull_pullback,5,5,"Healthy uptrend pullback to demand at POC, but supply caps the 2ATR target at 1.0 ATR with a red reclaim candle and high legpos — modest setup blocked by overhe",E30|E27,1,1,0,0,1,0,1,0
,631,01,REVIEW,LONG,45,demand_reclaim,7,7,"Pullback-low context with low legpos and oversold RSI, but demand is 2.58 ATR away (not defended-colada) and supply overhead blocks the 2ATR target at 1.34 ATR ",E1|E17,1,1,1,1,1,1,1,0
,685,01,SKIP,NONE,30,bull_pullback,4,7,"Despite fresh bullish CHoCH, price sits at top-of-leg (legpos90 81.5, dist_sma20 3.18) after a blow-off rise with supply blocking the target at 0.73 ATR and a 4",E23|E34,1,1,0,1,1,1,1,0
,702,01,TAKE,LONG,70,demand_reclaim,8,3,"Clean V_REVERSAL_DEMAND with tight 1.38 ATR SL right off a colada 4H demand (0.23 ATR), bullish CHoCH and sharp oversold washout (rsi_drop 23) — textbook demand",E1|E27|E30,1,1,1,0,1,1,1,0
,766,01,REVIEW,LONG,50,bull_pullback,6,5,"Healthy uptrend pullback with no overhead and an exceptionally tight 0.72 ATR SL, but legpos90 89.9 is high and reclaim body is flat (-0.03) — a modest bull_pul",E40|E17,1,0,0,0,1,1,1,0
,780,01,REVIEW,LONG,48,bull_pullback,5,5,"Uptrend pullback with buy-bubble absorption and reasonable SL, but legpos90 85.7 is high and supply blocks the 2ATR target at just 0.66 ATR — overhead obstructi",E40|E23,1,1,0,1,1,1,1,0
,833,01,REVIEW,LONG,52,bull_pullback,6,5,"Strong buy-bubble absorption (6:0, large) into clear air with no overhead and a bullish reclaim, but legpos90 90.5 places it near top-of-leg — bullish flow vs t",E40|E24,1,0,1,1,1,1,1,0
,845,01,REVIEW,LONG,46,bull_pullback,5,5,"Strong uptrend with clear air above, but entry is 2.29 ATR off demand at legpos90 90.1 after 4 up bars — chasing high in the leg rather than reclaiming low; mar",E40|E24,1,0,0,1,1,1,1,0
,866,01,SKIP,NONE,88,late_top,1,7,"Textbook TOP_EXHAUSTION: F_STRICT True, RSI 77 overbought, legpos90 94.1, blow-off 4.68 ATR above SMA50 with a 6.94 ATR wide SL — pure should-not-long top, the ",E23|E24,0,0,0,1,1,1,1,0
,886,01,SKIP,NONE,82,late_top,1,7,"Climax blow-off (rsi_1d 88.5, RSI rolled over -29.5 in 6 bars, ATR 2.4x) with demand 7.23 ATR away and a 7.11 ATR LATE_WIDE SL — high-volatility exhaustion top,",E24|E23,0,0,0,1,1,1,1,0
,901,01,REVIEW,LONG,50,demand_reclaim,5,5,"Tight V_REVERSAL_DEMAND off colada demand with 9:0 buy absorption, but embedded in a parabolic top (legpos90 91.6, rsi_1d 82.2) with supply blocking target at 0",E30|E24,1,1,0,1,1,1,1,0
E23,919,01,SKIP,NONE,92,late_top,1,8,"Canonical E23 loser: F_STRICT True, parabolic 5.36 ATR above SMA50, legpos90 93.9, RSI overbought and bearish BOS 1 bar ago — classic late-top should-not-long.",E23|E24,0,0,0,1,1,1,1,0
E24,934,01,SKIP,NONE,90,late_top,1,7,"Canonical E24 loser: rsi_1d 89.7 climax top, legpos90 89.3, red reclaim body -0.74 with demand 4.79 ATR away — distribution off the parabolic high, not a buyabl",E24|E23,0,0,0,1,1,0,1,0
,970,01,SKIP,NONE,60,unclear,3,6,"Post-correction bounce that already rallied 5.63 ATR with demand 6.71 ATR below and a 6.81 ATR LATE_WIDE SL — no low entry, no convergence, oversized risk.",E15|E34,1,0,0,1,1,1,1,0
,1027,01,SKIP,NONE,55,bear_bounce,3,7,"Extended bounce (7 up bars, rsi 64) into d1 supply at 0.4 ATR within a declining trend_90 -3.59 — bear_bounce into overhead that blocks the target, no edge.",E15|E23,1,1,0,1,1,1,1,0
,1072,01,SKIP,NONE,55,bear_bounce,4,7,Fresh CHoCH but on a red reclaim body (-0.11) within a declining trend with d1 supply 0.59 ATR overhead and RSI already at 56 — bounce in a down structure witho,E15|E34,1,0,1,1,1,0,1,0
,1151,01,REVIEW,LONG,48,bottom_reversal,6,6,"Genuine oversold capitulation (rsi_1d 30.3, legpos90 26.4, NAS LONG) entering low, but there is no 4H demand anchor and reclaim/absorption is absent — promising",E1|E17,1,0,1,1,1,1,1,0
,1200,01,REVIEW,LONG,50,demand_reclaim,6,5,"Mid-leg bullish reclaim (body 1.25) with d1 demand close, but trend_90 -4.39 declining and supply blocks the target at 0.47 ATR — reclaim quality vs heavy immed",E17|E15,1,1,0,1,1,1,1,0
,1211,01,SKIP,NONE,65,bull_pullback,5,6,Strong buy-bubble cluster but on a red reclaim body high in the leg (legpos90 87.4) after RSI rolled off 71 with a 4.48 ATR wide SL — late chase with no low ent,E23|E40,0,0,0,1,1,1,1,0
,1221,01,TAKE,LONG,62,demand_reclaim,6,4,"Strong bullish reclaim (body 1.31) off a colada d1 demand (0.5 ATR) after a sharp oversold washout (rsi_drop 14.7, sweet_spot) in a supportive uptrend — demand-",E27|E30|E1,1,1,1,1,1,1,1,0
,1298,01,REVIEW,LONG,45,bottom_reversal,5,6,"Low-in-leg context after a selloff with a defended 4H demand, but trend_90 -3.36 declining with a large SELL bubble and supply blocking target at 1.09 ATR — mix",E17|E15,1,1,1,0,1,1,1,0
,1316,02,SKIP,NONE,72,late_top,2,5,"Long into supply 0.15 ATR overhead that blocks both 2ATR and 3ATR targets, legpos90 81.5 with 4 consec up — entering high into a wall, no room for 2R.",E24|E15,1,1,0,0,1,0,1,0
,1326,02,SKIP,NONE,85,late_top,2,7,"Textbook blow-off top: legpos90 96.9, rise20 6.08, demand 6.73 ATR away and SL is LATE_WIDE 6.83 — no demand backing, terrible risk geometry.",E23|E24,1,1,0,1,1,1,1,0
,1353,02,REVIEW,LONG,55,demand_reclaim,7,3,"Low legpos with d1 demand glued at 0.20 ATR, strong bullish reclaim body 1.34 and clear runway (no supply block) — good geometry but 4h demand far and no absorp",E27|E30,1,0,0,0,1,0,1,0
,1429,02,REVIEW,LONG,48,demand_reclaim,5,4,"Fresh bullish CHoCH and low legpos with no overhead block, but the reclaim candle body is bearish (-0.98) and 4h demand is 4.66 ATR away — conflicting trigger q",E27|E15,1,0,0,0,1,0,1,0
,1497,02,SKIP,NONE,80,late_top,2,7,"High legpos90 91.8 in strong uptrend, supply pinned at 0.07 ATR blocking target, NAS just flipped SHORT and RSI rolling over — long here buys the top into a wal",E23|E39,1,1,0,1,1,0,1,0
,1522,02,REVIEW,LONG,52,demand_reclaim,5,4,"Tight V_REVERSAL_DEMAND SL 1.96 with demand at leg origin is winner-like geometry, but a bearish CHoCH stands and supply blocks the 2ATR target — partial conver",E30|E40,1,1,1,0,1,1,1,0
,1568,02,REVIEW,LONG,50,bottom_reversal,5,5,"Violent oversold flush (RSI 79→43, below VAL) = sweet-spot falling-knife in an uptrend, but no demand colada, no CHoCH turn and NAS SHORT — capitulation present",E1|E17,1,0,1,0,1,0,1,0
,1623,02,TAKE,LONG,62,demand_reclaim,7,3,"Low legpos32.6, d1 demand glued 0.27 ATR, tight V_REVERSAL SL 2.08 and zero supply overhead = clean reclaim-from-demand geometry with full runway — matches winn",E30|E40,1,0,0,0,1,1,1,0
,1661,02,REVIEW,LONG,47,demand_reclaim,5,4,"Bullish reclaim body 1.26 with d1 demand near and open runway, but recent bearish CHoCH plus sell-bubble cluster (large sell in 10b) signal distribution overhea",E27|E23,1,0,0,0,1,0,1,0
,1761,02,REVIEW,LONG,54,bottom_reversal,7,4,"Bull divergence + deep oversold (RSI min 27) + fresh bullish CHoCH + low legpos = bottom-reversal signature, but demand is 3.3 ATR away weakening the structural",E1|E17,1,0,1,0,1,0,1,0
,1775,02,SKIP,NONE,63,bear_bounce,3,6,"Falling-knife flush but fresh bearish CHoCH and supply pinned 0.64 ATR overhead block the 2ATR target with demand 3.4 ATR away — no runway, knife not yet caught",E15|E34,1,1,1,0,1,0,1,0
,1836,02,SKIP,NONE,70,late_top,2,5,"Entry at top of leg (legpos30 99.7) with supply 0.36 ATR overhead, demand 5.4 ATR away and a LATE_WIDE 5.46 ATR stop — chasing extension into a wall with bad ri",E23|E24,1,1,0,1,1,1,1,0
,1873,02,REVIEW,LONG,45,demand_reclaim,4,5,"Mid legpos with bullish CHoCH and d1 demand near, but reclaim candle is bearish and supply 1.54 ATR overhead blocks 2ATR — weak trigger into resistance, human r",E27|E34,1,1,1,0,1,0,1,0
,1901,02,SKIP,NONE,68,bear_bounce,3,7,"Strongly bearish reclaim candle (-1.32) under supply pinned 0.46 ATR with bearish CHoCH — this is a rejection at resistance, not a reclaim; the 0.55 ATR SL is a",E34|E15,1,1,0,0,1,1,1,0
,1941,02,REVIEW,LONG,53,demand_reclaim,6,5,"Demand-glued V_REVERSAL with tight 1.49 ATR SL, fresh bullish CHoCH and entry right at demand (0.48 ATR) is winner-like, but RSI 67 and a bearish reclaim candle",E40|E30,1,1,0,0,1,1,1,0
,2034,02,SKIP,NONE,66,bear_bounce,2,8,"Supply pinned 0.35 ATR overhead with bearish CHoCH, demand 6 ATR away and flat/bearish reclaim in a dead hour — no runway and no turn, skip the long.",E34|E15,1,1,0,1,1,1,1,0
E40,2053,02,TAKE,LONG,70,demand_reclaim,8,3,"Demand at leg origin glued 1.73 ATR, entry 0.68 ATR off demand with tight V_REVERSAL SL 1.83 and structural BOS/CHoCH — canonical demand-reclaim geometry matchi",E40|E30,1,1,1,0,1,1,1,0
,2100,02,SKIP,NONE,60,bear_bounce,3,8,"Bear divergence + fresh bearish CHoCH + bearish reclaim under supply blocking 2ATR, demand 4.7 ATR away — distribution rolling over, not a buyable pullback.",E24|E34,1,1,1,0,1,0,1,0
,2110,02,SKIP,NONE,74,late_top,2,6,"legpos90 92.5 at top of leg in strong uptrend with a standing bearish CHoCH and demand 2.9 ATR away — buying extension, no demand anchor.",E23|E39,1,0,0,1,1,0,1,0
,2174,02,SKIP,NONE,83,late_top,2,7,"Parabolic top: legpos90 94.3, RSI_1d 72.6 overbought, trend_90 +8.48 with d1 supply 1.2 ATR overhead and thin dead-hour volume — F_STRICT-style late-top, classi",E39|E23,1,0,0,1,1,0,1,0
,2188,03,SKIP,NONE,78,late_top,2,7,"Price pinned directly under 4H supply (0.08 ATR) that blocks both 2 and 3 ATR targets and was rejected before, while legpos90=91 and trend_90 strongly positive ",E24|E15,1,1,0,1,1,0,1,0
E39,2204,03,REVIEW,LONG,38,demand_reclaim,7,5,"Known loser E39: mid legpos and CHoCH look bullish but price sits right under stacked supply (d1 0.27 ATR, 4h blocks 2+3ATR rejected) with demand 2.67 ATR away ",E39|E23,1,1,0,0,1,1,1,0
,2222,03,REVIEW,LONG,44,bottom_reversal,7,5,"Genuine capitulation (falling-knife, consec_down 5, below VAL, oversold) with fresh bullish CHoCH and low legpos — the bottom-reversal cradle. But entry is mid-",E1|E30,1,0,1,1,1,1,1,0
