bar_idx,specialist,state,confidence,supports,conflicts,reason_codes,feature_values,market_interpretation,provenance_ok
55,supply,SUPPLY_BLOCKS_TARGET,medium,,target_obstructed,BLOCKS_TARGET,supply_category=SUPPLY_BLOCKS_TARGET;polarity_category=RECLAIM_REJECTED_BELOW_SUPPLY;dist_4h_supply=1.99;has_overhead=1,supply bloqueia alvo = R ruim,True
55,demand,DEMAND_FRAGILE,medium,,demand_deep,TOO_DEEP,demand_category=DEMAND_TOO_DEEP;dist_4h_demand=4.43;touched_retest=0,demanda muito funda = entrada esticada,True
55,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.79;dist_VAL=1.34;va_width=1.09;rel_volume=0.67,aceitação acima do valor = bullish,True
55,mtf,PARTIAL_BULL,medium,partial_bull,,parcial,trend_30_4h=-3.21;rsi_1d=None;d_break=bull;w_break=bull;weekly_slope=0.09646395779253364,alinhamento parcial bull,True
55,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=TRANSITION;combined_score=1.0;cascade=1.0;macro_broken=False;distribution=False;stall=False;sharp_drop=True;dist_alarm=False;dd13w=3.8383010940864803,regime macro bull,True
55,momentum,WEAK_MOMENTUM,medium,,weak,momentum_weak,trend_30=-3.21;rsi=37.31;rsi_1d=None;legpos90=30.0;rise20=0.83;bear_div=0.0,momentum fraco = bounce/indeciso,True
55,capit,NO_CAPITULATION,low,,,no_cap,drop20=2.62;rsi_min8=37.31;sweet_spot=False;bub_sell=0.0;reclaim_body=0.83,sem capitulação relevante,True
55,fuel,high_fuel,high,clean_sky,,no_overhead,supply_category=SUPPLY_BLOCKS_TARGET;dist_4h_supply=1.99;dist_d1_supply=None;blocks_target=1,sem teto = combustível alto,True
55,risk,SL_STRUCTURAL_OK,high,sl_ok,,demand_base,sl_atr=4.53;sl_type=NORMAL_DEMAND_BASE,SL estrutural na demanda = ok,True
78,supply,CLEAN_SKY_BULLISH,high,no_overhead,,CLEAN_SKY,supply_category=CLEAN_SKY;polarity_category=POLARITY_SUPPORTED_BY_DEMAND;dist_4h_supply=8.89;has_overhead=1,sem teto = markup/ATH bullish,True
78,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=2.77;touched_retest=1,demanda defendida real,True
78,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.75;dist_VAL=0.92;va_width=0.34;rel_volume=0.38,aceitação acima do valor = bullish,True
78,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=1.3;rsi_1d=60.3;d_break=bull;w_break=bull;weekly_slope=0.09646395779253364,alinhamento bull multi-TF = bull-run maior,True
78,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=TRANSITION;combined_score=3.0;cascade=3.0;macro_broken=False;distribution=False;stall=False;sharp_drop=True;dist_alarm=False;dd13w=3.1860691700953923,regime macro bull,True
78,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=1.3;rsi=56.27;rsi_1d=60.3;legpos90=47.4;rise20=3.12;bear_div=0.0,momentum bull forte,True
78,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.0;rsi_min8=50.65;sweet_spot=False;bub_sell=0.0;reclaim_body=0.74,sem capitulação relevante,True
78,fuel,high_fuel,high,clean_sky,,no_overhead,supply_category=CLEAN_SKY;dist_4h_supply=8.89;dist_d1_supply=1.77;blocks_target=0,sem teto = combustível alto,True
78,risk,SL_STRUCTURAL_OK,high,sl_ok,,demand_base,sl_atr=2.87;sl_type=NORMAL_DEMAND_BASE,SL estrutural na demanda = ok,True
116,supply,SUPPLY_BLOCKS_TARGET,medium,,target_obstructed,BLOCKS_TARGET,supply_category=SUPPLY_BLOCKS_TARGET;polarity_category=RECLAIM_REJECTED_BELOW_SUPPLY;dist_4h_supply=1.63;has_overhead=1,supply bloqueia alvo = R ruim,True
116,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_ORIGIN_OF_LEG,demand_category=DEMAND_ORIGIN_OF_LEG;dist_4h_demand=1.68;touched_retest=0,demanda defendida real,True
116,volume,REJECTION_BELOW_VALUE,medium,,below_value,BELOW_VAL|maturity:VP-as-of-bar,below_VAL=True;dist_POC=-1.35;dist_VAL=-0.54;va_width=1.12;rel_volume=1.54,preço abaixo do VAL = rejeição/distribuição,True
116,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=1.4;rsi_1d=64.2;d_break=bull;w_break=bull;weekly_slope=0.24430619108777824,alinhamento bull multi-TF = bull-run maior,True
116,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=3.0;cascade=3.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=2.0578506755037624,regime macro bull,True
116,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=1.4;rsi=56.69;rsi_1d=64.2;legpos90=44.7;rise20=1.91;bear_div=0.0,momentum bull forte,True
116,capit,NO_CAPITULATION,low,,,no_cap,drop20=2.02;rsi_min8=56.69;sweet_spot=True;bub_sell=1.0;reclaim_body=-0.83,sem capitulação relevante,True
116,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_BLOCKS_TARGET;dist_4h_supply=1.63;dist_d1_supply=1.8;blocks_target=1,supply colada/bloqueia = combustível baixo,True
116,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=1.78;sl_type=V_REVERSAL_DEMAND,SL aceitável,True
130,supply,SUPPLY_BLOCKS_TARGET,medium,,target_obstructed,BLOCKS_TARGET,supply_category=SUPPLY_BLOCKS_TARGET;polarity_category=RECLAIM_REJECTED_BELOW_SUPPLY;dist_4h_supply=1.54;has_overhead=1,supply bloqueia alvo = R ruim,True
130,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=1.37;touched_retest=1,demanda defendida real,True
130,volume,IN_VALUE_BALANCE,low,,,BALANCE|maturity:VP-as-of-bar,below_VAL=False;dist_POC=-0.19;dist_VAL=0.05;va_width=0.52;rel_volume=0.77,dentro do valor = balanço,True
130,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=1.63;rsi_1d=61.5;d_break=bull;w_break=bull;weekly_slope=0.24430619108777824,alinhamento bull multi-TF = bull-run maior,True
130,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=TRANSITION;combined_score=1.0;cascade=1.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=2.5611428642352383,regime macro bull,True
130,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=1.63;rsi=50.06;rsi_1d=61.5;legpos90=69.2;rise20=1.09;bear_div=0.0,momentum bull forte,True
130,capit,NO_CAPITULATION,low,,,no_cap,drop20=1.83;rsi_min8=50.06;sweet_spot=False;bub_sell=0.0;reclaim_body=-0.22,sem capitulação relevante,True
130,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_BLOCKS_TARGET;dist_4h_supply=1.54;dist_d1_supply=1.68;blocks_target=1,supply colada/bloqueia = combustível baixo,True
130,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=1.47;sl_type=V_REVERSAL_DEMAND,SL aceitável,True
140,supply,SUPPLY_BLOCKS_TARGET,medium,,target_obstructed,BLOCKS_TARGET,supply_category=SUPPLY_BLOCKS_TARGET;polarity_category=RECLAIM_REJECTED_BELOW_SUPPLY;dist_4h_supply=1.34;has_overhead=1,supply bloqueia alvo = R ruim,True
140,demand,DEMAND_NEUTRAL,medium,demand_present,,PRESENT_NEUTRAL,demand_category=DEMAND_PRESENT_NEUTRAL;dist_4h_demand=0.7;touched_retest=1,demanda presente neutra,True
140,volume,IN_VALUE_BALANCE,low,,,BALANCE|maturity:VP-as-of-bar,below_VAL=False;dist_POC=-0.48;dist_VAL=0.31;va_width=1.35;rel_volume=1.4,dentro do valor = balanço,True
140,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=-0.22;rsi_1d=60.3;d_break=bull;w_break=bull;weekly_slope=0.24430619108777824,alinhamento bull multi-TF = bull-run maior,True
140,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=3.0;cascade=3.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=1.5924140028174483,regime macro bull,True
