plot_id,set,specialist,state,confidence,supports,conflicts,reason_codes,feature_values,market_interpretation,provenance_ok
S1,A,supply,SUPPLY_REJECTING_RISK,high,,supply_rejecting,SUPPLY_NEAR_AND_REJECTING,supply_category=SUPPLY_NEAR_AND_REJECTING;polarity_category=RECLAIM_REJECTED_BELOW_SUPPLY;dist_4h_supply=0.85;has_overhead=1,supply viva colada acima = risco,True
S1,A,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=3.29;touched_retest=1,demanda defendida real,True
S1,A,volume,REJECTION_BELOW_VALUE,medium,,below_value,BELOW_VAL|maturity:VP-as-of-bar,below_VAL=True;dist_POC=-0.58;dist_VAL=-0.25;va_width=1.04;rel_volume=1.1,preço abaixo do VAL = rejeição/distribuição,True
S1,A,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=3.23;rsi_1d=62.0;d_break=bull;w_break=bull;weekly_slope=0.536186078146,alinhamento bull multi-TF = bull-run maior,True
S1,A,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=4.0;cascade=3.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=2.7376269594316844,regime macro bull,True
S1,A,momentum,HEALTHY_HIGH_LEGPOS,high,strong_bull,,legpos_high+momentum,trend_30=3.23;rsi=77.4;rsi_1d=62.0;legpos90=89.2;rise20=4.78;bear_div=0.0,legpos alto COM momentum = continuação sadia,True
S1,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.9;rsi_min8=60.25;sweet_spot=False;bub_sell=0.0;reclaim_body=-0.9,sem capitulação relevante,True
S1,A,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_NEAR_AND_REJECTING;dist_4h_supply=0.85;dist_d1_supply=0.85;blocks_target=1,supply colada/bloqueia = combustível baixo,True
S1,A,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=3.39;sl_type=TOP_EXHAUSTION,SL aceitável,True
S3,A,supply,SUPPLY_REJECTING_RISK,high,,supply_rejecting,SUPPLY_NEAR_AND_REJECTING,supply_category=SUPPLY_NEAR_AND_REJECTING;polarity_category=POLARITY_UNDER_SUPPLY_PRESSURE;dist_4h_supply=0.8;has_overhead=1,supply viva colada acima = risco,True
S3,A,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=1.28;touched_retest=1,demanda defendida real,True
S3,A,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.76;dist_VAL=1.27;va_width=1.35;rel_volume=1.67,aceitação acima do valor = bullish,True
S3,A,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=2.21;rsi_1d=55.2;d_break=bull;w_break=bull;weekly_slope=0.5881809871920802,alinhamento bull multi-TF = bull-run maior,True
S3,A,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=2.0;cascade=2.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=1.8360733749532672,regime macro bull,True
