episode_id,datetime,macro_context,visual_anchored_regime_proxy,auction_structure_state,demand_supply_state,volume_acceptance_state,momentum_state,capitulation_state,fuel_state,risk_sl_state,microstructure_flag,human_visual_required,final_policy,confidence,reason_codes,regimeB,combined,macro_broken,weekly_slope,EVAL_exitype,EVAL_realR
55,2020-01-14 07:00,MACRO_BULL_LEG,VA_RISK_SL,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE|SUPPLY_BLOCKS_TARGET,in/above_value,weak,NO_CAPITULATION,overhead,SL_TOO_WIDE,none,NO,REVIEW,med,bull-leg MAS eixo risco/SL (camada 3),TRANSITION,1,False,0.09646395779253364,SCRATCH,0.97
78,2020-01-20 03:00,MACRO_BULL_LEG,VA_BULL_MARKUP,CLEAN_SKY,DEMAND_DEFENDED|CLEAN_SKY,in/above_value,bull,NO_CAPITULATION,clean_sky,SL_OK,none,NO,TAKE_CANDIDATE,high,bull-leg; supply-perto=markup não-veta; risco operável,TRANSITION,3,False,0.09646395779253364,STOP_LOSS,-1.1
116,2020-01-28 15:00,MACRO_RANGE,VA_RANGE_REVIEW,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED|SUPPLY_BLOCKS_TARGET,below_VAL,bull,NO_CAPITULATION,overhead,SL_OK,none,NO,REVIEW,med,range/transition: precisa microestrutura/reclaim,BULL,3,False,0.24430619108777824,STOP_LOSS,-1.1
130,2020-01-30 23:00,MACRO_RANGE,VA_RANGE_REVIEW,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED|SUPPLY_BLOCKS_TARGET,in/above_value,bull,NO_CAPITULATION,overhead,SL_OK,none,NO,REVIEW,med,range/transition: precisa microestrutura/reclaim,TRANSITION,1,False,0.24430619108777824,WIN_BE,0.79
140,2020-02-03 15:00,MACRO_BULL_LEG,VA_BULL_MARKUP,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL|SUPPLY_BLOCKS_TARGET,in/above_value,weak,NO_CAPITULATION,overhead,SL_OK,none,NO,TAKE_CANDIDATE,high,bull-leg; supply-perto=markup não-veta; risco operável,BULL,3,False,0.24430619108777824,STOP_LOSS,-1.1
149,2020-02-05 03:00,MACRO_BULL_LEG,VA_BULL_MARKUP,SUPPLY_FAR_ENOUGH,DEMAND_DEFENDED|SUPPLY_FAR_ENOUGH,in/above_value,weak,CLIMAX_RECLAIM,clean_sky,SL_OK,none,NO,TAKE_CANDIDATE,high,bull-leg; supply-perto=markup não-veta; risco operável,BULL,1,False,0.31303394991160177,WIN_HELD,2.7
159,2020-02-06 19:00,MACRO_BULL_LEG,VA_BULL_MARKUP,SUPPLY_FAR_ENOUGH,DEMAND_DEFENDED|SUPPLY_FAR_ENOUGH,in/above_value,weak,NO_CAPITULATION,clean_sky,SL_OK,none,NO,TAKE_CANDIDATE,high,bull-leg; supply-perto=markup não-veta; risco operável,TRANSITION,1,False,0.31303394991160177,WIN_HELD,2.83
217,2020-02-20 15:00,MACRO_BULL_LEG,VA_RISK_SL,CLEAN_SKY,DEMAND_ABSENT|CLEAN_SKY,in/above_value,bull,NO_CAPITULATION,clean_sky,SL_TOO_WIDE,none,NO,REVIEW,med,bull-leg MAS eixo risco/SL (camada 3),BULL,3,False,0.4914036766956236,SCRATCH,0.75
237,2020-02-25 23:00,MACRO_BULL_LEG,VA_RISK_SL,SUPPLY_FAR_ENOUGH,DEMAND_NEUTRAL|SUPPLY_FAR_ENOUGH,in/above_value,bull,NO_CAPITULATION,clean_sky,SL_TOO_SHORT,none,NO,REVIEW,med,bull-leg MAS eixo risco/SL (camada 3),BULL,3,False,0.5054408455860381,STOP_LOSS,-1.1
287,2020-03-09 06:00,MACRO_BULL_LEG,VA_BULL_MARKUP,CLEAN_SKY,DEMAND_DEFENDED|CLEAN_SKY,in/above_value,bull,NO_CAPITULATION,clean_sky,SL_OK,none,NO,TAKE_CANDIDATE,high,bull-leg; supply-perto=markup não-veta; risco operável,BULL,4,False,0.6064504073529768,STOP_LOSS,-1.1
351,2020-03-23 22:00,MACRO_TRANSITION,VA_AMBIGUOUS_BEAR,SUPPLY_FRESH_DANGEROUS,DEMAND_DEFENDED|SUPPLY_FRESH_DANGEROUS,in/above_value,bull,NO_CAPITULATION,overhead,SL_TOO_WIDE,none,YES,HUMAN_VISUAL_REQUIRED,med,regime quebrado MAS weekly subindo (T9-like): visual necessário,BEAR,-1,True,0.4994770018512094,SCRATCH,0.82
383,2020-03-31 06:00,MACRO_BULL_LEG,VA_RISK_SL,CLEAN_SKY,DEMAND_ABSENT|CLEAN_SKY,below_VAL,bull,NO_CAPITULATION,clean_sky,SL_TOO_WIDE,none,NO,REVIEW,med,bull-leg MAS eixo risco/SL (camada 3),TRANSITION,2,True,0.5034561779500858,SCRATCH,0.61
391,2020-04-01 14:00,MACRO_RANGE,VA_RANGE_REVIEW,CLEAN_SKY,DEMAND_DEFENDED|CLEAN_SKY,in/above_value,weak,NO_CAPITULATION,clean_sky,SL_OK,none,NO,REVIEW,med,range/transition: precisa microestrutura/reclaim,TRANSITION,0,True,0.5034561779500858,WIN_RUNNER,3.9
413,2020-04-07 06:00,MACRO_RANGE,VA_RANGE_HIGH_LEGPOS,SUPPLY_NEAR_AND_REJECTING,DEMAND_DEFENDED|SUPPLY_NEAR_AND_REJECTING,below_VAL,bull,NO_CAPITULATION,overhead,SL_OK,RESIDUAL_HIGH_LEGPOS,YES,HUMAN_VISUAL_REQUIRED,med,range/transition + legpos alto = micro-top/residual: visual necessário,BULL,4,False,0.536186078146,WIN_HELD,1.46
458,2020-04-17 18:00,MACRO_RANGE,VA_RISK_SL,SUPPLY_FAR_ENOUGH,DEMAND_ABSENT|SUPPLY_FAR_ENOUGH,below_VAL,weak,FALLING_KNIFE,clean_sky,SL_LATE_WIDE,none,NO,REVIEW,med,range/transition + eixo risco,BULL,3,False,0.5440303471670079,SCRATCH,0.32
493,2020-04-27 14:00,MACRO_BULL_LEG,VA_RISK_SL,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE|SUPPLY_BLOCKS_TARGET,below_VAL,bull,NO_CAPITULATION,overhead,SL_LATE_WIDE,none,NO,REVIEW,med,bull-leg MAS eixo risco/SL (camada 3),BULL,3,False,0.567423062410765,WIN_BE,0.9
521,2020-05-04 06:00,MACRO_RANGE,VA_BOTTOM_TURN,SUPPLY_NEAR_AND_REJECTING,DEMAND_DEFENDED|SUPPLY_NEAR_AND_REJECTING,in/above_value,weak,NO_CAPITULATION,overhead,SL_OK,none,NO,TAKE_CANDIDATE,high,"bottom_turn (reversão de fundo, convexidade)",BULL,2,False,0.5583435484705966,SCRATCH,1.37
542,2020-05-07 18:00,MACRO_RANGE,VA_RANGE_REVIEW,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED|SUPPLY_BLOCKS_TARGET,in/above_value,bull,NO_CAPITULATION,overhead,SL_OK,none,NO,REVIEW,med,range/transition: precisa microestrutura/reclaim,BULL,1,False,0.5400352108573094,SCRATCH,0.22
583,2020-05-18 14:00,MACRO_RANGE,VA_RISK_SL,CLEAN_SKY,DEMAND_ABSENT|CLEAN_SKY,below_VAL,bull,FALLING_KNIFE,clean_sky,SL_TOO_WIDE,none,NO,REVIEW,med,range/transition + eixo risco,BULL,4,False,0.5696206217372586,SCRATCH,0.02
597,2020-05-20 22:00,MACRO_RANGE,VA_RANGE_REVIEW,SUPPLY_NEAR_AND_REJECTING,DEMAND_NEUTRAL|SUPPLY_NEAR_AND_REJECTING,in/above_value,bull,NO_CAPITULATION,overhead,SL_OK,none,NO,REVIEW,med,range/transition: precisa microestrutura/reclaim,BULL,2,False,0.6013097455973243,STOP_LOSS,-1.1
631,2020-05-28 18:00,MACRO_BULL_LEG,VA_BULL_MARKUP,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED|SUPPLY_BLOCKS_TARGET,in/above_value,weak,NO_CAPITULATION,overhead,SL_OK,none,NO,TAKE_CANDIDATE,high,bull-leg; supply-perto=markup não-veta; risco operável,TRANSITION,1,False,0.6246286658391609,STOP_LOSS,-1.1
685,2020-06-10 18:00,MACRO_RANGE,VA_RISK_SL,SUPPLY_FRESH_DANGEROUS,DEMAND_DEFENDED|SUPPLY_FRESH_DANGEROUS,in/above_value,bull,NO_CAPITULATION,overhead,SL_TOO_WIDE,none,NO,REVIEW,med,range/transition + eixo risco,TRANSITION,2,False,0.5881809871920802,SCRATCH,0.38
702,2020-06-15 14:00,MACRO_CORRECTIVE_PULLBACK,VA_UNKNOWN,SUPPLY_NEAR_AND_REJECTING,DEMAND_DEFENDED|SUPPLY_NEAR_AND_REJECTING,in/above_value,bull,NO_CAPITULATION,overhead,SL_OK,none,NO,UNKNOWN,med,sem leitura clara,BULL,2,False,0.5881809871920802,WIN_HELD,2.43
766,2020-06-30 06:00,MACRO_BULL_LEG,VA_BULL_MARKUP,CLEAN_SKY,DEMAND_DEFENDED|CLEAN_SKY,in/above_value,bull,NO_CAPITULATION,clean_sky,SL_OK,none,NO,TAKE_CANDIDATE,high,bull-leg; supply-perto=markup não-veta; risco operável,BULL,3,False,0.6158233570956342,STOP_LOSS,-1.1
780,2020-07-02 14:00,MACRO_BULL_LEG,VA_BULL_MARKUP,SUPPLY_NEAR_AND_REJECTING,DEMAND_NEUTRAL|SUPPLY_NEAR_AND_REJECTING,in/above_value,bull,NO_CAPITULATION,overhead,SL_OK,none,NO,TAKE_CANDIDATE,high,bull-leg; supply-perto=markup não-veta; risco operável,BULL,2,False,0.6158233570956342,WIN_HELD,1.43
833,2020-07-15 14:00,MACRO_BULL_LEG,VA_BULL_MARKUP,CLEAN_SKY,DEMAND_DEFENDED|CLEAN_SKY,in/above_value,bull,NO_CAPITULATION,clean_sky,SL_OK,none,NO,TAKE_CANDIDATE,high,bull-leg; supply-perto=markup não-veta; risco operável,BULL,3,False,0.6876458812501033,WIN_RUNNER,3.9
845,2020-07-17 14:00,MACRO_BULL_LEG,VA_BULL_MARKUP,CLEAN_SKY,DEMAND_DEFENDED|CLEAN_SKY,in/above_value,bull,NO_CAPITULATION,clean_sky,SL_OK,none,NO,TAKE_CANDIDATE,high,bull-leg; supply-perto=markup não-veta; risco operável,BULL,2,False,0.6876458812501033,WIN_RUNNER,3.9
866,2020-07-23 02:00,MACRO_BULL_LEG,VA_RISK_SL,CLEAN_SKY,DEMAND_ABSENT|CLEAN_SKY,in/above_value,bull,NO_CAPITULATION,clean_sky,SL_TOO_WIDE,none,NO,REVIEW,med,bull-leg MAS eixo risco/SL (camada 3),BULL,3,False,0.8290219067529373,WIN_HELD,2.09
886,2020-07-28 10:00,MACRO_BULL_LEG,VA_RISK_SL,CLEAN_SKY,DEMAND_ABSENT|CLEAN_SKY,in/above_value,bull,NO_CAPITULATION,clean_sky,SL_TOO_WIDE,none,NO,REVIEW,med,bull-leg MAS eixo risco/SL (camada 3),BULL,3,False,0.8637794577699351,SCRATCH,-0.04
901,2020-07-30 22:00,MACRO_BULL_LEG,VA_BULL_MARKUP,SUPPLY_NEAR_AND_REJECTING,DEMAND_DEFENDED|SUPPLY_NEAR_AND_REJECTING,in/above_value,bull,NO_CAPITULATION,overhead,SL_OK,none,NO,TAKE_CANDIDATE,high,bull-leg; supply-perto=markup não-veta; risco operável,BULL,3,False,0.8637794577699351,WIN_BE,0.9
919,2020-08-04 22:00,MACRO_BULL_LEG,VA_RISK_SL,CLEAN_SKY,DEMAND_DEFENDED|CLEAN_SKY,below_VAL,bull,NO_CAPITULATION,clean_sky,SL_TOO_WIDE,none,NO,REVIEW,med,bull-leg MAS eixo risco/SL (camada 3),BULL,2,False,0.8700140988843995,STOP_LOSS,-1.1
934,2020-08-07 10:00,MACRO_BULL_LEG,VA_RISK_SL,CLEAN_SKY,DEMAND_ABSENT|CLEAN_SKY,below_VAL,bull,NO_CAPITULATION,clean_sky,SL_TOO_WIDE,none,NO,REVIEW,med,bull-leg MAS eixo risco/SL (camada 3),BULL,3,False,0.8700140988843995,STOP_LOSS,-1.1
