plot_id,set,datetime,macro_state,family,confidence,reason,supply,demand,volume,mtf,regime,momentum,capit,fuel,risk,final_verdict
S1,A,2020-04-07,BULL_PULLBACK_CONTINUATION,BULL,medium,bull_macro_default,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,low_fuel,SL_NEUTRAL,PROTECT
S3,A,2020-06-15,RANGE_MACRO_BULL_RECLAIM,BULL,medium,bull+acceptance,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,PROTECT
S4,A,2020-07-02,RANGE_MACRO_BULL_RECLAIM,BULL,medium,bull+acceptance,SUPPLY_REJECTING_RISK,DEMAND_NEUTRAL,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,PROTECT
S5,A,2020-07-23,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_ABSENT,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,PROTECT
S6,A,2020-07-30,RANGE_MACRO_BULL_RECLAIM,BULL,medium,bull+acceptance,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,PROTECT
S7,A,2020-11-02,BEAR_BOUNCE_RISK,RISK,high,bear+supply+weak,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,PROTECT
S8,A,2021-04-06,CORRECTIVE_BEAR_LEG,RISK,medium,bear_corrective,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_NEUTRAL,PROTECT
S12,A,2022-02-08,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_FAR_NEUTRAL,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_TOO_WIDE,PROTECT
S13,A,2022-07-21,BEAR_BOUNCE_RISK,RISK,high,bear+supply+weak,SUPPLY_BLOCKS_TARGET,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,PROTECT
S15,A,2022-11-04,BEAR_BOUNCE_RISK,RISK,high,bear+supply+weak,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,PROTECT
S16,A,2022-11-23,RANGE_MACRO_BULL_RECLAIM,BULL,medium,bull+acceptance,SUPPLY_BLOCKS_TARGET,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,PROTECT
S17,A,2023-01-03,BULL_PULLBACK_CONTINUATION,BULL,medium,bull_macro_default,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,PROTECT
S20,A,2023-10-11,RANGE_MACRO_BULL_RECLAIM,BULL,medium,bull+acceptance,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,PROTECT
S24,A,2024-07-03,RANGE_MACRO_BULL_RECLAIM,BULL,medium,bull+acceptance,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_TRANSITION_RISK,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,PROTECT
S25,A,2024-08-15,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,PROTECT
S26,A,2024-09-04,CORRECTIVE_BEAR_LEG,RISK,medium,falling_knife,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,REJECTION_BELOW_VALUE,PARTIAL_BULL,MACRO_BULL,STRONG_BULL_MOMENTUM,FALLING_KNIFE,low_fuel,SL_TOO_SHORT,PROTECT
S27,A,2025-05-28,CORRECTIVE_BEAR_LEG,RISK,medium,falling_knife,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,FALLING_KNIFE,low_fuel,SL_STRUCTURAL_OK,PROTECT
S29,A,2025-09-02,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_ABSENT,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,PROTECT
S30,A,2025-09-15,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,PROTECT
S31,A,2025-10-01,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,PROTECT
