plot_id,datetime,set,macro_context,auction_structure_state,demand_supply_state,volume_acceptance_state,momentum_state,capitulation_state,fuel_state,risk_sl_state,exit_management_state,prior_layers_support,prior_layers_conflict,structural_read,recommended_policy,confidence,reason_codes,market_interpretation,what_would_invalidate,what_is_irreducible_or_residual
S1,2020-04-07,A,MACRO_RANGE/BULL,BULL_PULLBACK_CONTINUATION,DEMAND_DEFENDED|SUPPLY_REJECTING_RISK,REJECTION_BELOW_VALUE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,low_fuel,SL_ACCEPTABLE,CONVEX_OK,demand_defended|momentum_healthy|mtf_bull,supply_overhead_rejecting|value_rejection|low_fuel,BULL:BULL_PULLBACK_CONTINUATION,REVIEW,medium,sup=3;conf=3;risk=SL_ACCEPTABLE,"convergência bull parcial (3 suportes, 3 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S3,2020-06-15,A,MACRO_CORRECTIVE_PULLBACK/BULL,RANGE_MACRO_BULL_RECLAIM,DEMAND_DEFENDED|SUPPLY_REJECTING_RISK,ACCEPTANCE_ABOVE_VALUE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_ACCEPTABLE,CONVEX_OK,demand_defended|value_acceptance|momentum_healthy|mtf_bull,supply_overhead_rejecting|low_fuel,BULL:RANGE_MACRO_BULL_RECLAIM,REVIEW,medium,sup=4;conf=2;risk=SL_ACCEPTABLE,"convergência bull parcial (4 suportes, 2 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S4,2020-07-02,A,MACRO_BULL_LEG/BULL,RANGE_MACRO_BULL_RECLAIM,DEMAND_NEUTRAL|SUPPLY_REJECTING_RISK,ACCEPTANCE_ABOVE_VALUE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_ACCEPTABLE,CONVEX_OK,value_acceptance|momentum_healthy|high_fuel|mtf_bull,supply_overhead_rejecting,BULL:RANGE_MACRO_BULL_RECLAIM,TAKE_CANDIDATE,medium,sup=4;conf=1;risk=SL_ACCEPTABLE,convergência bull forte (4 suportes) + risco operável,close < swing-low estrutural / perda da demanda defendida,
S5,2020-07-23,A,MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,DEMAND_ABSENT|CLEAN_SKY_BULLISH,IN_VALUE_BALANCE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_WIDE_REVIEW,RISK_REVIEW,supply_clear_or_breaking|momentum_healthy|high_fuel|mtf_bull,no_demand_base,BULL:NO_OVERHEAD_MARKUP,REVIEW,high,sup=4;conf=1;risk=SL_TOO_WIDE_REVIEW,convergência bull forte (4 suportes) MAS risco SL_TOO_WIDE_REVIEW = review humano (eixo SL/exit),close < swing-low estrutural / perda da demanda defendida,
S6,2020-07-30,A,MACRO_BULL_LEG/BULL,RANGE_MACRO_BULL_RECLAIM,DEMAND_DEFENDED|SUPPLY_REJECTING_RISK,ACCEPTANCE_ABOVE_VALUE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_ACCEPTABLE,CONVEX_OK,demand_defended|value_acceptance|momentum_healthy|high_fuel|mtf_bull,supply_overhead_rejecting,BULL:RANGE_MACRO_BULL_RECLAIM,TAKE_CANDIDATE,medium,sup=5;conf=1;risk=SL_ACCEPTABLE,convergência bull forte (5 suportes) + risco operável,close < swing-low estrutural / perda da demanda defendida,
S7,2020-11-02,A,MACRO_RANGE/BEAR,BEAR_BOUNCE_RISK,DEMAND_DEFENDED|SUPPLY_BLOCKS_TARGET,ACCEPTANCE_ABOVE_VALUE,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_OK,CONVEX_OK,demand_defended|value_acceptance,supply_overhead_rejecting|weak_momentum_in_risk|low_fuel,RISK:BEAR_BOUNCE_RISK,SKIP_STRUCTURAL,high,sup=2;conf=3;risk=SL_OK,bear-bounce/supply-colada + momentum fraco = repique sob teto (estrutural),higher-high confirmado reverte o contexto bear,
S8,2021-04-06,A,MACRO_RANGE/BEAR,CORRECTIVE_BEAR_LEG,DEMAND_DEFENDED|SUPPLY_FAR_NEUTRAL,IN_VALUE_BALANCE,WEAK_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_ACCEPTABLE,CONVEX_OK,demand_defended,weak_momentum_in_risk,RISK:CORRECTIVE_BEAR_LEG,REVIEW,medium,sup=1;conf=1;risk=SL_ACCEPTABLE,família RISK (CORRECTIVE_BEAR_LEG) mas sem convergência bear completa = review,higher-high confirmado reverte o contexto bear,
S9,2021-05-12,C,MACRO_BULL_LEG/TRANSITION,CORRECTIVE_BEAR_LEG,DEMAND_FRAGILE|SUPPLY_BLOCKS_TARGET,REJECTION_BELOW_VALUE,STRONG_BULL_MOMENTUM,FALLING_KNIFE,low_fuel,SL_TOO_WIDE_REVIEW,RISK_REVIEW,momentum_healthy|mtf_bull,supply_overhead_rejecting|value_rejection|low_fuel,RISK:CORRECTIVE_BEAR_LEG,REVIEW,medium,sup=2;conf=3;risk=SL_TOO_WIDE_REVIEW,família RISK (CORRECTIVE_BEAR_LEG) mas sem convergência bear completa = review,higher-high confirmado reverte o contexto bear,
S10,2021-05-14,C,MACRO_BULL_LEG/TRANSITION,MACRO_BULL_RUN_CONTINUATION,DEMAND_DEFENDED|SUPPLY_FAR_NEUTRAL,ACCEPTANCE_ABOVE_VALUE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,medium_fuel,SL_OK,CONVEX_OK,demand_defended|value_acceptance|momentum_healthy|mtf_bull,,BULL:MACRO_BULL_RUN_CONTINUATION,TAKE_CANDIDATE,high,sup=4;conf=0;risk=SL_OK,convergência bull forte (4 suportes) + risco operável,close < swing-low estrutural / perda da demanda defendida,
S12,2022-02-08,A,MACRO_TRANSITION/TRANSITION,MACRO_BULL_RUN_CONTINUATION,DEMAND_ABSENT|SUPPLY_FAR_NEUTRAL,ACCEPTANCE_ABOVE_VALUE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_TOO_WIDE_REVIEW,RISK_REVIEW,value_acceptance|momentum_healthy|mtf_bull,no_demand_base,BULL:MACRO_BULL_RUN_CONTINUATION,REVIEW,high,sup=3;conf=1;risk=SL_TOO_WIDE_REVIEW,convergência bull forte (3 suportes) MAS risco SL_TOO_WIDE_REVIEW = review humano (eixo SL/exit),close < swing-low estrutural / perda da demanda defendida,
