family|source_type|path_or_commit|covers
MACRO|doc|docs/XAU_4H_MACRO_STRUCTURAL_READING_ENGINE_DESIGN_SPEC.md|design do engine de percepcao macro multi-TF
MACRO|doc|docs/XAU_4H_MACRO_STRUCTURAL_READING_ENGINE_KNOWLEDGE_STATE.md|estado de conhecimento macro
MACRO|doc|docs/XAU_4H_MACRO_STRUCTURAL_READING_ENGINE_CONFLUENCE_V2_REPORT.md|confluence v2 override + late-top (DO_NOT_USE)
MACRO|doc|docs/XAU_4H_MACRO_STRUCTURAL_READING_ENGINE_SPECIALISTS_62_REPORT.md|9 specialists deterministicos
MACRO|doc|docs/XAU_4H_MACRO_STRUCTURAL_READING_ENGINE_LEG_STATE_D1_CONFLUENCE_REPORT.md|D1 leg-state backbone (CORE)
MACRO|doc|docs/XAU_4H_MACRO_STRUCTURAL_READING_ENGINE_LEG_STATE_LIQUIDITY_REPORT.md|4H fractal leg-state (confound)
MACRO|doc|docs/XAU_4H_MACRO_STRUCTURAL_READING_ENGINE_ENTRY_QUALITY_REPORT.md|entry-quality refutada
MACRO|doc|docs/XAU_4H_MACRO_STRUCTURAL_FEATURE_CENSUS.md|censo 122 features 6 fontes
MACRO|doc|docs/XAU_4H_MACRO_ENGINE_METHODOLOGICAL_CANON.md|canon metodologico (8 pontos)
MACRO|doc|docs/XAU_4H_MACRO_PRIOR_FAILED_LAYERS_AS_CONDITIONAL_EVIDENCE.md|camadas falhadas como evidencia condicional
MACRO|doc|docs/XAU_4H_FULL276_MACRO_ENGINE_REAL_RERUN_REPORT.md|rerun real full276
MACRO|doc|docs/XAU_4H_FULL276_VISUAL_ANCHORED_STRUCTURAL_READING_REPORT.md|leitura visual-ancorada
MACRO|doc|docs/XAU_4H_VISUAL_ANCHORED_REGIME_MEASUREMENT_REPORT.md|regime visual-ancorado 13 estados
MACRO|doc|docs/XAU_4H_DEEP_TARGET7_DIFFERENTIATION_REPORT.md|permutation guard / clean-sky
MACRO|doc|docs/XAU_4H_MACRO_POLISH_367C2E8_AUDIT_REPORT.md|macro_phase D1 audit
MACRO|script|v1/full276_macro_engine.py|engine macro deterministico
MACRO|script|v1/macro_structural_specialists.py|9 specialists
MACRO|script|v1/leg_state_d1_backbone.py|D1 backbone
MACRO|script|v1/leg_state_liquidity_specialist.py|liquidity specialist
MACRO|script|v1/structural_convergent_reader_62.py|leitura convergente 62
MACRO|script|v1/visual_anchored_regime_62.py|regime visual-ancorado
MACRO|memory|project_macro_structural_reading_engine.md|status engine macro
MACRO|memory|feedback_macro_engine_methodological_canon.md|trava canon macro
DSPA|doc|docs/XAU_4H_L2_BPT_DYNAMIC_STRUCTURAL_PATH_AGGREGATOR_SPEC.md|spec DSPA (path features F1-F7)
DSPA|doc|docs/XAU_4H_L2_BPT_DSPA_CROSS_CONFLUENCE_EXPLORATION_REPORT.md|cross-confluence 18 regras
DSPA|doc|docs/XAU_4H_L2_BPT_DSPA_INTERMEDIATE_STATES_REPORT.md|9 estados intermediarios
DSPA|doc|docs/XAU_4H_L2_BPT_DSPA_LBB_SIGNAL_KNOWLEDGE_STATE.md|LBB knowledge state
DSPA|doc|docs/XAU_4H_L2_BPT_DSPA_LBB_SIGNAL_STRESS_REPORT.md|LBB stress test (P1/P2)
DSPA|doc|docs/XAU_4H_L2_BPT_DYNAMIC_MARKET_READING_STATE_MACHINE_SPEC.md|state machine spec (sub-leitores)
DSPA|script|v1/l2_bpt_dspa_path_features.py|path features F1-F7
DSPA|script|v1/l2_bpt_dspa_aggregation.py|agregacao camada-4
DSPA|script|v1/l2_bpt_dspa_cross_confluence.py|cross-confluence
DSPA|script|v1/l2_bpt_dspa_lbb_signal_stress.py|stress LBB
DSPA|memory|project_l2_bpt_dynamic_structural_path_aggregator.md|design lockado DSPA
