plot_id,set,datetime,v1_state,v1_family,v2_state,v2_family,v2_confidence,v2_reason,final_verdict,supply,demand,momentum,mtf,regime,capit
S1,A,2020-04-07,BULL_PULLBACK_CONTINUATION,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:d1_supply_near+rise20_extended,PROTECT,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S3,A,2020-06-15,RANGE_MACRO_BULL_RECLAIM,BULL,RANGE_MACRO_BULL_RECLAIM,BULL,medium,v1_kept,PROTECT,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S4,A,2020-07-02,RANGE_MACRO_BULL_RECLAIM,BULL,RANGE_MACRO_BULL_RECLAIM,BULL,medium,v1_kept,PROTECT,SUPPLY_REJECTING_RISK,DEMAND_NEUTRAL,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S5,A,2020-07-23,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:rise20_extended+weekly_OB,PROTECT,CLEAN_SKY_BULLISH,DEMAND_ABSENT,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S6,A,2020-07-30,RANGE_MACRO_BULL_RECLAIM,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:weekly_OB,PROTECT,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S7,A,2020-11-02,BEAR_BOUNCE_RISK,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken+cascade+break_bear),PROTECT,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
S8,A,2021-04-06,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken),PROTECT,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
S12,A,2022-02-08,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,high,v1_kept,PROTECT,SUPPLY_FAR_NEUTRAL,DEMAND_ABSENT,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S13,A,2022-07-21,BEAR_BOUNCE_RISK,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken+cascade+break_bear),PROTECT,SUPPLY_BLOCKS_TARGET,DEMAND_ABSENT,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
S15,A,2022-11-04,BEAR_BOUNCE_RISK,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken+cascade+break_bear),PROTECT,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
