claim_id,number,metric,script,input_file,output_file,source_ref,raw_or_derived,status,note
S1_GRID,162,configs estágio-1 (pré-registado),f15_pltdm_gate.py,results/f0_bars_cache.jsonl,f15_pltdm_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,sobreviventes=0
S1_A1,18,configs A1 override-OFF,f15_pltdm_gate.py,results/f0_bars_cache.jsonl,f15_pltdm_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,sobreviventes=8
S2_1,6/10+4/11,PLT/DM recall,f15_pltdm_gate.py,results/f0_bars_cache.jsonl,f15_pltdm_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,"{""M"": 15, ""K_up"": 5, ""K_down"": 5, ""D_flush"": Infinity, ""mom"": 24}"
S2_2,6/10+4/11,PLT/DM recall,f15_pltdm_gate.py,results/f0_bars_cache.jsonl,f15_pltdm_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,"{""M"": 24, ""K_up"": 5, ""K_down"": 5, ""D_flush"": Infinity, ""mom"": 24}"
S2_3,6/10+3/11,PLT/DM recall,f15_pltdm_gate.py,results/f0_bars_cache.jsonl,f15_pltdm_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,"{""M"": 15, ""K_up"": 6, ""K_down"": 5, ""D_flush"": Infinity, ""mom"": 24}"
S2_4,6/10+3/11,PLT/DM recall,f15_pltdm_gate.py,results/f0_bars_cache.jsonl,f15_pltdm_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,"{""M"": 15, ""K_up"": 6, ""K_down"": 3, ""D_flush"": Infinity, ""mom"": 24}"
S2_5,5/10+3/11,PLT/DM recall,f15_pltdm_gate.py,results/f0_bars_cache.jsonl,f15_pltdm_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,"{""M"": 12, ""K_up"": 6, ""K_down"": 5, ""D_flush"": Infinity, ""mom"": 24}"
S2_6,4/10+3/11,PLT/DM recall,f15_pltdm_gate.py,results/f0_bars_cache.jsonl,f15_pltdm_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,"{""M"": 24, ""K_up"": 6, ""K_down"": 5, ""D_flush"": Infinity, ""mom"": 24}"
S2_7,5/10+3/11,PLT/DM recall,f15_pltdm_gate.py,results/f0_bars_cache.jsonl,f15_pltdm_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,"{""M"": 12, ""K_up"": 6, ""K_down"": 3, ""D_flush"": Infinity, ""mom"": 24}"
S2_8,4/10+3/11,PLT/DM recall,f15_pltdm_gate.py,results/f0_bars_cache.jsonl,f15_pltdm_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,"{""M"": 24, ""K_up"": 6, ""K_down"": 3, ""D_flush"": Infinity, ""mom"": 24}"
S2_CONT,192,looks contingência eff/slope,f15_contingency.py,results/f0_bars_cache.jsonl,f15_contingency_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,best=6/10+4/11
DIAG_F25,16/25,proximidade fundos pre-2026 (informativo),f15_diag_best.py,results/f0_bars_cache.jsonl,f15_diag_best_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,REVIEW_LAYER,config exploratorio nao congelado
DIAG_INV,1/4,INVALIDO em estado de rejeicao,f15_diag_best.py,results/f0_bars_cache.jsonl,f15_diag_best_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,REVIEW_LAYER,
DA_PROBE,74,candidatos janela (sonda DA: 37 tops+37 bots vs 21 marcas; 10/11 misses sem candidato ao nível),DA agent (sonda read-only),results/f0_bars_cache.jsonl,F0_F1_F15_DA.md,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,REVIEW_LAYER,look contado (DA F0-F1.5 correção 4)
BURN_F2_1,16/25,DIAG_F25 reclassificado LOOK QUEIMADO de F2 (lido sem freeze — desvio C7 declarado),f15_diag_best.py,results/f0_bars_cache.jsonl,f15_diag_best_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,NOT_FOR_DECISION,quarentena A2
BURN_F2_2,1/4,DIAG_INV reclassificado LOOK QUEIMADO de F2 (INVALIDO 2026 lidos sem freeze),f15_diag_best.py,results/f0_bars_cache.jsonl,f15_diag_best_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,NOT_FOR_DECISION,quarentena A2
S1_DEGEN,99.9,pct LEG_DOWN config degenerado exemplo (estágio-1),f15_pltdm_gate.py,results/f0_bars_cache.jsonl,f15_pltdm_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,sample_degenerate no result
A2_S1_r4,8/10+7/11,PLT/DM recall A2 (extremos de região),a2_anchor_gt_gate.py,results/f0_bars_cache.jsonl,a2_anchor_gt_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,look passo-1
A2_S1_r6,7/10+4/11,PLT/DM recall A2 (extremos de região),a2_anchor_gt_gate.py,results/f0_bars_cache.jsonl,a2_anchor_gt_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,look passo-1
A2_S1_r8,4/10+1/11,PLT/DM recall A2 (extremos de região),a2_anchor_gt_gate.py,results/f0_bars_cache.jsonl,a2_anchor_gt_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,look passo-1
A2_S3_F42,11/42,cobertura causal 42 FUNDO (leitura única),a2_anchor_gt_gate.py,results/f0_bars_cache.jsonl,a2_anchor_gt_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,REVIEW_LAYER,bottom 10 + converted 1
A2_S3_C50,10/50,cobertura causal 50 círculos,a2_anchor_gt_gate.py,results/f0_bars_cache.jsonl,a2_anchor_gt_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,REVIEW_LAYER,
A2_S3_INV,1/4,INVALIDO rejeitados (sem região ativa),a2_anchor_gt_gate.py,results/f0_bars_cache.jsonl,a2_anchor_gt_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,REVIEW_LAYER,
A2_S3_LATE,18/42,LATE_ONLY regiao criada pela propria queda (metrica pos-hoc),a2_anchor_gt_gate.py,results/f0_bars_cache.jsonl,a2_anchor_gt_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,EXPLORATORY,POSTHOC nao pre-registada (DA final #2)
A2_S3_SERVICEABLE,29/42,entry-serviceable = COVERED+LATE (hipotese pos-hoc),a2_anchor_gt_gate.py,results/f0_bars_cache.jsonl,a2_anchor_gt_gate_result.json,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,NOT_FOR_DECISION,constantes LATE improvisadas; nao verificado reteste 10-38h
A2_NULL_S1,0.000,mining-null passo-1 r=4 (sonda DA 200 trials offset 3-10d; obs15 vs null med1 q95 3),DA agent (sonda),results/f0_bars_cache.jsonl,A2_ANCHOR_ONLY_FINAL_DA.md,RAW 9x .jsonl.gz via f0 (manifest),VERIFIED_DERIVED,REVIEW_LAYER,look contado
