plot_id,datetime,cris_verdict,visual_phase,visual_context,d1_leg,regimeB,regimeB_combined,macro_broken,sup_cat,supply_in_regime,spec_demand,spec_momentum,legpos90,risk_sl,visual_anchored_state,recommended_policy,confidence,reason,feature_regime_agrees_visual,old_policy,corrected_5ac3f9e,EVAL_exitype,EVAL_realR
S1,2020-04-07,-,BULL_RUN_TO_ATH2075,BULL,MACRO_RANGE,BULL,4,False,SUPPLY_NEAR_AND_REJECTING,markup_or_clear,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,89.2,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (BULL_RUN_TO_ATH2075); supply-perto=markup não-veta; risco operável,YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.46
S3,2020-06-15,-,BULL_RUN_TO_ATH2075,BULL,MACRO_CORRECTIVE_PULLBACK,BULL,2,False,SUPPLY_NEAR_AND_REJECTING,markup_or_clear,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,69.3,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (BULL_RUN_TO_ATH2075); supply-perto=markup não-veta; risco operável,YES,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.43
S4,2020-07-02,-,BULL_RUN_TO_ATH2075,BULL,MACRO_BULL_LEG,BULL,2,False,SUPPLY_NEAR_AND_REJECTING,markup_or_clear,DEMAND_NEUTRAL,HEALTHY_HIGH_LEGPOS,85.7,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (BULL_RUN_TO_ATH2075); supply-perto=markup não-veta; risco operável,YES,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,1.43
S5,2020-07-23,-,BULL_RUN_TO_ATH2075,BULL,MACRO_BULL_LEG,BULL,3,False,CLEAN_SKY,markup_or_clear,DEMAND_ABSENT,HEALTHY_HIGH_LEGPOS,94.1,SL_TOO_WIDE_REVIEW,VA_RISK_SL_REVIEW,REVIEW,med,bull macro (BULL_RUN_TO_ATH2075) MAS eixo risco SL_TOO_WIDE_REVIEW (camada 3),YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,2.09
S6,2020-07-30,-,BULL_RUN_TO_ATH2075,BULL,MACRO_BULL_LEG,BULL,3,False,SUPPLY_NEAR_AND_REJECTING,markup_or_clear,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,91.6,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (BULL_RUN_TO_ATH2075); supply-perto=markup não-veta; risco operável,YES,REVIEW,TAKE_CANDIDATE,WIN_BE,0.9
S7,2020-11-02,-,BEAR_MARKDOWN_FROM_2075,BEAR,MACRO_RANGE,BEAR,-2,True,SUPPLY_BLOCKS_TARGET,supply_risk,DEMAND_DEFENDED,WEAK_MOMENTUM,39.6,SL_OK,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,med,timeline macro-visual BEAR (BEAR_MARKDOWN_FROM_2075): bull-pullback/markdown intra-bear,YES,REVIEW,SKIP_STRUCTURAL,WIN_BE,0.9
S8,2021-04-06,-,BOTTOM_RECOVERY_BULL,BOTTOM,MACRO_RANGE,BEAR,-1,True,SUPPLY_FAR_ENOUGH,markup_or_clear,DEMAND_DEFENDED,WEAK_MOMENTUM,69.8,SL_OK,VA_BOTTOM_TURN_TAKE,TAKE_CANDIDATE,med,timeline macro-visual BOTTOM (BOTTOM_RECOVERY_BULL): reversão de fundo (convexidade),NO,REVIEW,SKIP_STRUCTURAL,WIN_BE,0.9
S9,2021-05-12,-,BOTTOM_RECOVERY_BULL,BOTTOM,MACRO_BULL_LEG,TRANSITION,3,True,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_FRAGILE,STRONG_BULL_MOMENTUM,66.4,SL_TOO_WIDE_REVIEW,VA_BOTTOM_TURN_TAKE,TAKE_CANDIDATE,med,timeline macro-visual BOTTOM (BOTTOM_RECOVERY_BULL): reversão de fundo (convexidade),NO,SKIP_STRUCTURAL,REVIEW,WIN_HELD,1.78
S10,2021-05-14,-,BOTTOM_RECOVERY_BULL,BOTTOM,MACRO_BULL_LEG,TRANSITION,2,True,SUPPLY_FAR_ENOUGH,markup_or_clear,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,92.5,SL_OK,VA_BOTTOM_TURN_TAKE,TAKE_CANDIDATE,med,timeline macro-visual BOTTOM (BOTTOM_RECOVERY_BULL): reversão de fundo (convexidade),YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.86
S12,2022-02-08,-,RALLY_TO_WAR_TOP,BULL,MACRO_TRANSITION,TRANSITION,3,False,SUPPLY_FAR_ENOUGH,markup_or_clear,DEMAND_ABSENT,STRONG_BULL_MOMENTUM,65.1,SL_TOO_WIDE_REVIEW,VA_RISK_SL_REVIEW,REVIEW,med,bull macro (RALLY_TO_WAR_TOP) MAS eixo risco SL_TOO_WIDE_REVIEW (camada 3),YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.84
