prior_layer,status_anterior,uso_agora_no_sistema_integrado
Regime/Context/Fuel v1,candidato FRACO isolado,CONTEXTO de camada 1 (não gate) — informa bull/range/corrective; nunca bloqueia sozinho
has-overhead-aware composite,negativo isolado (bal 0.618),"gate NECESSÁRIO não-suficiente; entra na camada 2 como aspecto supply (clean-sky vs colada), nunca regra única"
Macro Engine v1 (9 especialistas),"preserva bull 13/14, B-RISK fraco","É a CAMADA 2 (convergência) — usada como núcleo; lado RISK fraco = correto, late-top é resíduo aceito"
Confluence v2 (macro-override+late-top),REFUTADO (matou bull-run),guardrail negativo: NÃO penalizar legpos-alto em bull-run; lição preservada (não repetir)
Entry-quality (localização da entrada),REFUTADO (good/bad idênticos),CONFIRMA que separador não é onde se entra mas em QUE LEG + eixo risco/exit; reinterpretado como não-discriminador de entrada
Leg-state 4H,REFUTADO (confound de escala),leg macro vive no D1/weekly (camada 1); 4H pivots = ruído p/ macro-leg — usar só D1 backbone
D1-backbone + agents,melhor preservação (13/14),É a CAMADA 1 (contexto macro) — adotado como backbone; bear-markdown é o único bloqueio robusto
Bear-Leg Block v3,gate sobre 62; no 276 RETRATADO/BASELINE_WEAK + bug over-fire,"REINTERPRETADO: bear-markdown vira CONTEXTO/flag de review humano (Telegram bear-flags), NÃO gate duro — pois mata convexidade (7 winners aqui)"
Microstructure FEATURE_MISSING,T17/T20 não-capturável,resíduo auction-irredutível ACEITO (WATCHLIST_TRANSFORM); não perseguir detector micro-top
Deep target-7 PARTIAL_SIGNAL,não-separável (permutation p=0.167),"clean-sky/vácuo = FLAG CONTEXTUAL de camada 2 (supply), nunca regra; near-macro-top é resíduo"
Confluence exhaustive p=0.167,ID-fit/hull,exemplo de busca superficial PROIBIDA pelo canon ponto 7; permutation só p/ matar feature-única-suspeita
capit+rsi,CONTEXT_ONLY (OOS refutado),"aspecto de CAPITULAÇÃO na camada 2 (convergência) — flag de fundo, não standalone; freq ~2.8/ano"
clean-sky/vácuo,contextual era-level,FLAG de supply na camada 2 (clean-sky=markup/ATH vs colada=risco); nunca filtro promovível
