signal_name,current_field,raw_original_field,source_status,transform_method,causal_timing_model,no_future_guard,fidelity_check,allowed_in_blind_packet,allowed_as_decision,known_bug,action_required
nas_top_bottom,nas_events_recent,pine_labels[NAS TOP BOTTOM DETECTOR],RAW_ORIGINAL_OK,tail-as-of-bar recent labels (era-filtered),snapshot as-of-bar replay (so passado),YES,close-anchor RAW vs frozen <0.5pct,YES,NO,none,none
smc_bos_choch_eqh_eql,smc_events_recent,pine_labels[Smart Money Concepts LuxAlgo],RAW_ORIGINAL_OK,tail-as-of-bar recent labels (era-filtered),snapshot as-of-bar replay,YES,close-anchor RAW vs frozen <0.5pct,YES,NO,none,none
market_order_bubbles,bubble_cluster_summary,pine_shapes_bubbles[Market Order Bubbles].activations_per_plot,RAW_ORIGINAL_OK,activations_per_plot BUY plot_0_2_4 SELL plot_6_8_10,as-of-bar 20-bar lookback do estudo,YES,bate derivado bubbles_recent em contagem,YES,NO,none,none
rsi_value,rsi_value,study_values[Relative Strength Index].RSI,RAW_ORIGINAL_OK,leitura direta as-of-bar,as-of-bar,YES,valor RAW direto,YES,NO,none,none
rsi_divergence,rsi_divergence_events,study_values[Relative Strength Index].Regular_Bullish_Bearish,RAW_ORIGINAL_OK,extrai chaves Regular Bullish e Regular Bearish do payload,as-of-bar,YES,presente no payload RAW,YES,NO,heuristica antiga substituida pelo campo RAW autentico,none
ohlcv_price_sequence,price_sequence_4h,ohlcv,DERIVED_FROM_RAW_WITH_MAPPING,extracao fiel de OHLC do replay capture,as-of-bar barras fechadas,YES,close frozen vs RAW ~0.1-0.4pct feed,YES,NO,none,idealmente ler OHLC direto do RAW no futuro
nas_recent_derived,nas_recent,pine_labels[NAS TOP BOTTOM DETECTOR],DERIVED_ARTIFACT_BUG,head-of-buffer (ERRADO),quebrado (labels 2018-19),NO,FALHOU (preços era 2018-19),NO,NO,pegava cabeca do buffer de 500 labels,NAO USAR usar nas_top_bottom RAW
smc_recent_derived,smc_recent,pine_labels[Smart Money Concepts LuxAlgo],DERIVED_ARTIFACT_BUG,head-of-buffer (ERRADO),quebrado,NO,FALHOU,NO,NO,head-of-buffer stale,NAO USAR usar smc RAW
bubbles_recent_derived,bubbles_recent,pine_shapes_bubbles[Market Order Bubbles],UNMAPPED_DERIVED_DISALLOWED,derivado sem manifest,bars_ago no payload (causal mas derivado),PARTIAL,nao auditado,NO,NO,none confirmado mas sem mapping,usar market_order_bubbles RAW
sup_cat,sup_cat,pine_boxes[Custom OB Detector v11].text=SUPPLY,RAW_ORIGINAL_OK,nearest SUPPLY box low acima do close as-of-bar; categoriza por dist ATR (NEAR<=1 BLOCKS<=2 FAR CLEAN_SKY),as-of-bar snapshot (so boxes presentes na barra),YES,close RAW vs frozen close-match no anchor,YES,NO,none,none
pol_cat,pol_cat,pine_boxes[Custom OB Detector v11],UNMAPPED_DERIVED_DISALLOWED,feature computada sem manifest,nao declarado,UNKNOWN,ausente,NO,NO,sem mapping,mapear RAW
clean_sky,clean_sky,pine_boxes[Custom OB Detector v11] room-to-supply,RAW_ORIGINAL_OK,True se sem SUPPLY box acima do close OU dist_supply>3 ATR as-of-bar,as-of-bar snapshot,YES,close RAW vs frozen close-match no anchor,YES,NO,none,none
dist_supply,dist_supply_atr,pine_boxes[Custom OB Detector v11].text=SUPPLY,RAW_ORIGINAL_OK,(min low das SUPPLY boxes acima do close - close)/ATR14 as-of-bar,as-of-bar snapshot,YES,close RAW vs frozen close-match no anchor,YES,NO,none,none
dist_demand,dist_demand_atr,pine_boxes[Custom OB Detector v11].text=DEMAND,RAW_ORIGINAL_OK,(close - max high das DEMAND boxes abaixo do close)/ATR14 as-of-bar,as-of-bar snapshot,YES,close RAW vs frozen close-match no anchor,YES,NO,none,none
acceptance,f3_acceptance_state,ohlcv + SVP value-area,UNMAPPED_DERIVED_DISALLOWED,estado computado,nao declarado,UNKNOWN,ausente,NO,NO,rotulo textual enganou (cluster 2 sub-D),reconstruir pela forma RAW
svp_poc_val_vah,dist_poc above_value below_value,session_vp,UNMAPPED_DERIVED_DISALLOWED,nao mapeado ao session_vp RAW,nao declarado,UNKNOWN,ausente,NO,NO,dist_poc None em cluster 2,mapear de session_vp do bloco SVP_LUX_RAW
weekly_slope_cascade_leg,weekly_slope cascade_score combined_score v3_state,1D e weekly OHLC close,DERIVED_FROM_RAW_WITH_MAPPING,asof(entry) regime price-derived; fidelity exige |close_regime-close_RAW|/close<1pct,as-of-entry (regime usa so price ja fechado; D-1 na classificacao),YES,"close do regime vs close RAW (_fidelity_close_vs_raw); 18/19 PASS, 4401 FAIL flagado",YES,NO,"4401 fidelity-fail flagado no episodio (warning, nao silencioso)",idealmente recomputar regime direto do RAW 1D/weekly (bloco futuro)
custom_ob_boxes,(nao extraido),pine_boxes[Custom OB Detector v11],UNKNOWN_BLOCKED,a definir (extrair boxes as-of-bar),as-of-bar snapshot,a implementar,a implementar,NO,NO,none,extrair pine_boxes Custom OB do RAW
smc_boxes_lines,(nao extraido),pine_boxes[SMC] e pine_lines[SMC],UNKNOWN_BLOCKED,a definir,as-of-bar,a implementar,a implementar,NO,NO,none,extrair se necessario
chart_prints,prints TradingView,N/A,VISUAL_AUX_ONLY,olho humano,visual,N/A,comparar contra RAW no post-audit,NO,NO,none,nunca usar como fonte primaria
raw_containers,study_values pine_labels pine_shapes_bubbles pine_boxes pine_lines ohlcv session_vp,campos de topo do registro RAW,RAW_ORIGINAL_OK,leitura direta as-of-bar,as-of-bar,YES,source-of-truth,YES,NO,none,none
