plot_id,set,datetime,d1_macro_leg,macro_state,context_family,confidence,supports,conflicts,reason_codes,prior_layers_used,prior_layers_conflicts,market_interpretation,final_verdict,macro_v1_family
S1,A,2020-04-07,MACRO_RANGE,LATE_TOP_EXHAUSTION,RISK,medium,demand_defended (DEMAND_SUPPORTING_RETEST)|weekly_slope positive +0.54|FULL_BULL_ALIGN mtf,d1_macro_leg=MACRO_RANGE (not a clean bull leg)|SUPPLY_NEAR_AND_REJECTING at 0.85 ATR|pol_cat RECLAIM_REJECTED_BELOW_SUPPLY|legpos90 89.2 + rsi 77.4 + low_fuel + sl_type TOP_EXHAUSTION|below_VAL true (rejection below value),high_legpos_supply_rejecting_weak_fuel|range_not_bull_leg|supply_colada_rejection,supply=SUPPLY_REJECTING_RISK|momentum=HEALTHY_HIGH_LEGPOS|fuel=low_fuel,regime=MACRO_BULL vs d1_macro_leg=MACRO_RANGE,High extended in a range under a rejecting supply with exhausted fuel — late-top risk rather than clean continuation.,PROTECT,BULL
S3,A,2020-06-15,MACRO_CORRECTIVE_PULLBACK,BULL_PULLBACK_CONTINUATION,BULL,high,d1_macro_leg=MACRO_CORRECTIVE_PULLBACK in bull context|DEMAND_DEFENDED + DEMAND_SUPPORTING_RETEST close (dist_4h_demand 1.28)|reclaim_body +1.26 positive|rsi pulled to 40.6 (reset) with STRONG_BULL_MOMENTUM weekly|ACCEPTANCE_ABOVE_VALUE + sweet_spot true|sl_type V_REVERSAL_DEMAND tight (1.38),SUPPLY_NEAR_AND_REJECTING at 0.8 ATR overhead|pol_cat POLARITY_UNDER_SUPPLY_PRESSURE,healthy_pullback_demand_defended_reclaim|rsi_reset_in_bull|tight_structural_sl,regime=MACRO_BULL|momentum=STRONG_BULL_MOMENTUM|demand=DEMAND_DEFENDED,,Corrective pullback in a bull context bouncing off defended demand with positive reclaim — classic bull-pullback continuation.,PROTECT,BULL
S4,A,2020-07-02,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,medium,"d1_macro_leg=MACRO_BULL_LEG with daily HH+HL|FULL_BULL_ALIGN + high_fuel|demand_touched at 1.91 ATR, V_REVERSAL_DEMAND sl|ACCEPTANCE_ABOVE_VALUE|legpos90 85.7 healthy in bull leg",SUPPLY_NEAR_AND_REJECTING at 0.66 ATR overhead|pol_cat RECLAIM_REJECTED_BELOW_SUPPLY|reclaim_body weak +0.36,bull_leg_high_fuel_healthy_legpos|overhead_supply_near,regime=MACRO_BULL|fuel=high_fuel|momentum=HEALTHY_HIGH_LEGPOS,,"Clean bull leg with HH/HL and high fuel, fighting a near overhead supply — continuation context with a local resistance caveat.",PROTECT,BULL
S5,A,2020-07-23,MACRO_BULL_LEG,NO_OVERHEAD_MARKUP,BULL,high,d1_macro_leg=MACRO_BULL_LEG daily HH+HL|CLEAN_SKY + has_overhead=0 + high_fuel|trend_30 5.62 / rise20 5.7 strong markup|FULL_BULL_ALIGN|weekly_slope 0.83 weekly_rsi 73.9,legpos90 94.1 + rsi 77.3 very extended|DEMAND_ABSENT / POLARITY_FLOATING_NO_BASE|sl_type TOP_EXHAUSTION wide (6.94) SL_TOO_WIDE,clean_sky_no_overhead_strong_markup|extended_but_no_resistance|wide_sl_risk_axis,supply=CLEAN_SKY_BULLISH|momentum=HEALTHY_HIGH_LEGPOS|fuel=high_fuel,"risk=SL_TOO_WIDE (separate axis, not a context conflict)",Open-sky bull markup with no overhead and strong thrust — extended but unobstructed continuation; wide SL is a risk-axis caveat only.,PROTECT,BULL
S6,A,2020-07-30,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,medium,d1_macro_leg=MACRO_BULL_LEG daily HH+HL|DEMAND_DEFENDED + DEMAND_SUPPORTING_RETEST (dist 1.62)|high_fuel + FULL_BULL_ALIGN|reclaim_body +0.67|V_REVERSAL_DEMAND tight sl 1.72|weekly_rsi 77.5 strong,SUPPLY_NEAR_AND_REJECTING very close 0.36 ATR|pol_cat POLARITY_UNDER_SUPPLY_PRESSURE|legpos90 91.6 extended|rel_volume 0.55 thin / va_width 0,bull_leg_demand_defended_high_fuel|supply_colada_very_near,regime=MACRO_BULL|demand=DEMAND_DEFENDED|fuel=high_fuel,,Bull leg with defended demand and high fuel but pressed right against a very near rejecting supply — continuation with immediate-resistance friction.,PROTECT,BULL
S7,A,2020-11-02,MACRO_RANGE,BEAR_BOUNCE_RISK,RISK,medium,DEMAND_DEFENDED + POLARITY_SUPPORTED_BY_DEMAND|daily HL true|SL_STRUCTURAL_OK,"d1_macro_leg=MACRO_RANGE with regimeB BEAR + macro_broken=true|MACRO_BROKEN_DISTRIBUTION + BEAR_ALIGN mtf|WEAK_MOMENTUM, trend_30 -1.43, legpos90 39.6|SUPPLY_BLOCKS_TARGET overhead|low_fuel",macro_broken_distribution_bear_align|weak_momentum_low_legpos|supply_blocks_target,regime=MACRO_BROKEN_DISTRIBUTION|mtf=BEAR_ALIGN|momentum=WEAK_MOMENTUM,regimeB_state=BEAR vs demand defended,"Range with broken-macro/bear alignment and supply blocking target — demand-supported bounce inside a distribution, not a trend context.",PROTECT,RISK
S8,A,2021-04-06,MACRO_RANGE,BEAR_BOUNCE_RISK,RISK,medium,"DEMAND_DEFENDED + POLARITY_SUPPORTED_BY_DEMAND|SUPPLY_FAR_ENOUGH (2.05 ATR, no immediate rejection)|rise20 6.63 + rsi 67.3 local thrust|V_REVERSAL_DEMAND tight sl 1.49|in-value balance","d1_macro_leg=MACRO_RANGE, regimeB BEAR + macro_broken=true|BEAR_ALIGN mtf + MACRO_BROKEN_DISTRIBUTION|weekly_slope negative -0.45 / weekly_rsi 42.7|WEAK_MOMENTUM specialist",macro_broken_bear_weekly_negative|range_bounce_supply_far|near_demand_in_bear_not_auto_support,regime=MACRO_BROKEN_DISTRIBUTION|mtf=BEAR_ALIGN,momentum=WEAK_MOMENTUM vs local rsi 67.3 thrust,"Demand-supported bounce inside a broken-macro range with negative weekly slope — relief move under bear backdrop, not validated continuation.",PROTECT,RISK
S12,A,2022-02-08,MACRO_TRANSITION,RANGE_MACRO_BULL_RECLAIM,BULL,medium,RECLAIM_ACCEPTED_ABOVE_SUPPLY + supply_broken=1|SUPPLY_FAR_ENOUGH 2.75 ATR clear overhead|STRONG_BULL_MOMENTUM + trend_30 3.99 + rise20 5.38|ACCEPTANCE_ABOVE_VALUE|regimeB_combined +3,d1_macro_leg=MACRO_TRANSITION (not confirmed leg)|daily HH but no HL|DEMAND_ABSENT / DEMAND_ABSENT_OR_IRRELEVANT|sl_type LATE_WIDE (5.89) SL_TOO_WIDE|low weekly_slope 0.14,reclaim_accepted_above_supply|transition_bull_momentum|clear_overhead_far_supply,regime=MACRO_BULL|momentum=STRONG_BULL_MOMENTUM|supply=SUPPLY_FAR_NEUTRAL,d1_macro_leg=MACRO_TRANSITION vs specialist regime=MACRO_BULL,"Transition reclaiming above broken supply with strong momentum and clear sky — bullish reclaim, but transition leg and wide SL temper conviction.",PROTECT,BULL
S13,A,2022-07-21,MACRO_BEAR_LEG,BEAR_BOUNCE_RISK,RISK,high,RECLAIM_ACCEPTED_ABOVE_SUPPLY + supply_broken=1 locally|rsi_1d 22 deeply oversold (potential turn fuel),"d1_macro_leg=MACRO_BEAR_LEG (primary bear context)|daily no HH no HL / lower structure|BEAR_ALIGN mtf + MACRO_BROKEN_DISTRIBUTION + macro_broken=true|weekly_slope -0.67 weekly_rsi 35.9 strongly negative|DEMAND_ABSENT / SUPPLY_BLOCKS_TARGET|legpos90 28 low, WEAK_MOMENTUM",macro_bear_leg_relief_bounce|weekly_strongly_negative|supply_blocks_target_demand_absent,regime=MACRO_BROKEN_DISTRIBUTION|mtf=BEAR_ALIGN|momentum=WEAK_MOMENTUM,local supply_broken vs SUPPLY_BLOCKS_TARGET macro,"Counter-trend bounce inside a confirmed macro bear leg with strongly negative weekly and absent demand — a bear relief, high-risk for longs.",PROTECT,RISK
S15,A,2022-11-04,MACRO_RANGE,BEAR_BOUNCE_RISK,RISK,medium,DEMAND_DEFENDED + DEMAND_SUPPORTING_RETEST|reclaim_body +1.30 positive|rsi_min8 29.4 oversold reset|SL_STRUCTURAL_OK,"d1_macro_leg=MACRO_RANGE, regimeB BEAR -3 + macro_broken=true|BEAR_ALIGN + MACRO_BROKEN_DISTRIBUTION|SUPPLY_NEAR_AND_REJECTING 0.27 ATR very close|bear_div=1 + WEAK_MOMENTUM + trend_30 -1.25|weekly_slope -0.47 negative",macro_broken_bear_range|supply_colada_very_near_bear_div|near_demand_in_bear_trap_risk,regime=MACRO_BROKEN_DISTRIBUTION|mtf=BEAR_ALIGN|momentum=WEAK_MOMENTUM,demand defended vs bear_div present,Defended-demand bounce but under very-near rejecting supply with bear divergence in a broken-bear range — classic near-demand trap in bear.,PROTECT,RISK
