family|evidence_name|source|domain|saw_correctly|failed_isolated|status|reader_use|reader_not_use|helps
MACRO|D1_weekly_leg_state_backbone|leg_state_d1_backbone.py e54d87e|camada-1 macro leg via swing D1 shift D-1|resolveu confound escala; anchor preserve 13/14 A 20/26|RISK fraco 3/18; 11 late-top irredutiveis; regime D1 atrasado|CORE_CONTEXT|espinha dorsal de contexto que ancora todas lentes; preserva bull isola bear-markdown|nunca gate duro SKIP; nunca regimeB sobrepor bull-leg|preservar-monumentais;bear-buy-legitimo-vs-trap;continuacao-estrutural;topo/range/chop
MACRO|4H_fractal_leg_state|leg_state_liquidity 04eeb1b|leg macro via pivots 4H|conceito leg-state certo; pivots causais p/ sweep local|confound escala: 12/14 A-winners marcados RISK sao macro-bull D1; preserve 7/14|WARNING_FAILURE_MODE|so microestrutura/sweep local; lembrar macro-leg vive no D1|nunca inferir perna MACRO do 4H|bear-buy-legitimo-vs-trap
MACRO|9_macro_specialists|macro_structural_specialists.py d0e5566|confluencia 9 aspectos -> 12 estados|preserva bull melhor que feature unica anchor 12/14|RISK 5/18; no 276 TAKE WR 24.8 nao separa null p0.374|CORE_CONTEXT|nucleo de convergencia interpretavel factor+value+reason-codes|nao votacao somada/score; nao gate; nao separa winner/loser sozinho|preservar-monumentais;continuacao-estrutural;markup-through-supply-vs-supply-rejection
MACRO|supply_sup_cat_pol_cat|demand_supply_quality.py census 9574c22|gestalt categorico supply/demanda i-12..i|codifica CLEAN_SKY/markup/colada; distingue no-overhead vs supply-colada|lift ~0 no 276 ID-fit; polaridade depende do regime|POLARITY_DEPENDS_ON_CONTEXT|input 1a classe Supply condicionado a leg: bull=markup bear=risco|nunca context-free; near-supply nao e veto; clean-sky nao promovivel|markup-through-supply-vs-supply-rejection;continuacao-estrutural;topo/range/chop
MACRO|volumetry_svp_acceptance|svp_causality_verification.csv 7f3c852|aceitacao vs distribuicao via Session VP real|provado as-of-bar causal sem shift; volume real|VP inicio-sessao fino; tick-volume nao-confiavel fabrica artefatos|CONDITIONAL_EVIDENCE|lente aceitacao-acima-de-valor ponderando maturidade; sempre Session VP|nunca tick-volume; maturidade nao e look-ahead; bub_ratio nao termo unico|markup-through-supply-vs-supply-rejection;reversao/fundo/capitulacao;topo/range/chop
MACRO|multi_tf_alignment|design_spec census weekly|concordancia 4H+1D+semanal slopes/RSI/breaks|distingue bull-run maior de bounce local; weekly era riqueza ignorada|sozinho nao separa B; weekly-RSI-OB usou errado no late-top v2|CONDITIONAL_EVIDENCE|corroborador de alinhamento sob backbone D1|weekly-RSI-OB nunca sinal isolado de late-top|continuacao-estrutural;preservar-monumentais
MACRO|macro_regime_regimeB_v3|full276_macro_engine.py ab62b1d|vocabulario regimeB_v3 escalar D-1|30 campos ricos distribution/cascade/stall; macro_broken legitimo as vezes|mis-mede: over-fire macro_broken em bull-leg bloqueia 18W; cego ao bear-junk T40|DO_NOT_USE_AS_GATE|so evidencia condicional de comportamento subordinada ao leg; bear-markdown so fora de bull-leg|nunca regimeB sobrepor leg D1; escalar nao e autoridade visual>escalar|reversao/fundo/capitulacao;topo/range/chop
MACRO|momentum_exhaustion_legpos|specialists_62 prior_layers|legpos x momentum trend/rsi/bear_div|momentum forte=continuacao em bull; legpos so condicionado|late-top tem momentum forte antes de virar; legpos-alto isolado falso topo|REQUIRES_CASE_READING|hipotese de exaustao so condicionada a leg+regime; high-legpos saudavel default|nunca legpos alto como late-top isolada|continuacao-estrutural;topo/range/chop
MACRO|capitulation_climax|prior_layers design_spec|drop20/rsi_min/sweet_spot/bubbles_sell|exemplar fraqueza-isolada nao-inutil; resgata V-reversals|refutada OOS bear regime-bound; bubble polaridade context-dependente|REQUIRES_CASE_READING|input so no regime de fundo/turn; bubble polaridade context-aware|nunca context-free; bub_sell/CHoCH nao bear absoluto|reversao/fundo/capitulacao;bear-buy-legitimo-vs-trap
MACRO|fuel_convexity_cleansky|deep_target7 4c3f0a5|room-to-supply/CLEAN_SKY/dist_d1_supply tier diagnostico|eixo novo clean-sky-vacuo vs rompeu-supply-testada|so 40% winners 2024-25; clean-sky falha como eixo perm p0.167 hull|CONTRAST_LENS|flag de confluencia vacuo vs supply-testada-rompida nunca filtro|nunca eixo separador isolado|markup-through-supply-vs-supply-rejection;preservar-monumentais
