episode_id,datetime,episode_type,decision,confidence,mfe_R,engine_policy,conflict
55,2020-01-14,BULL_PULLBACK,REVIEW,"low because edge is thin: weak momentum, fragile/deep demand, supply only 2 ATR up, tiny reclaim",5.0,TAKE,
78,2020-01-20,MARKUP_CONTINUATION,TAKE,"high because confluence is broad: BOS, clean sky, demand defended, strong momentum, accumulation bubbles",1.0,TAKE,take_loser
116,2020-01-28,BULL_PULLBACK,TAKE,med because trend and demand are solid but near supply with low fuel and a down-body entry,0.0,TAKE,take_loser
130,2020-01-30,BULL_PULLBACK,REVIEW,low because the entry-bar -9.9 dump into a supply ceiling contradicts the clean-reclaim thesis,10.5,TAKE,
140,2020-02-03,BULL_PULLBACK,TAKE,med because the bull thesis and discount entry are good but SL_TOO_SHORT and neutral demand raise risk-management doubt,0.4,REVIEW_RISK,take_loser
149,2020-02-05,LEGITIMATE_BEAR_BUY,TAKE,"high because the climax-reclaim shape, bottom-turn, clean sky and oversold spring all converge in an intact uptrend",0.0,TAKE,take_loser
159,2020-02-06,MARKUP_CONTINUATION,TAKE,med-high because acceptance and BOS are strong though momentum reads only weak and bubbles are mixed,12.7,TAKE,
217,2020-02-20,MARKUP_CONTINUATION,REVIEW,med because trend is unambiguously strong but the entry is into premium with no demand floor and wide SL,6.5,REVIEW_RISK,
237,2020-02-25,BULL_PULLBACK,REVIEW,low because there is no structural reclaim signal (SMC_NONE) and the price shape is whippy and unresolved,1.2,REVIEW_RISK,
287,2020-03-09,REVERSAL_RUNNER,TAKE,med because the bull structure and defended demand are strong but a -37.7 single bar signals regime instability ahead (COVID),0.8,TAKE,take_loser
351,2020-03-23,BEAR_PULLBACK_TRAP,SKIP,high because broken weekly + fresh dangerous supply 0.68 ATR overhead + 12.5% drawdown is the textbook bear-pullback trap,5.1,REVIEW,skip_runner
383,2020-03-31,SUPPLY_REJECTION,SKIP,high because rejection at resistance with absent demand and down-structure in a broken regime is clearly unfavorable,0.0,REVIEW_RISK,
391,2020-04-01,DISTRIBUTION_TOP,SKIP,high because distribution bubbles + top-reversal CHoCH + corrective bear leg + structure-down converge against a long,10.4,SKIP,skip_runner
413,2020-04-07,MARKUP_CONTINUATION,REVIEW,"med because the macro is bullish and demand defended below, but the immediate entry is a rejection off near supply at extreme RSI",4.9,TAKE,
458,2020-04-17,BULL_PULLBACK,SKIP,med-high because falling-knife + absent demand + top-reversal CHoCH argue against a long despite bull macro flag,0.0,SKIP,
493,2020-04-27,BULL_PULLBACK,REVIEW,"low because no reclaim trigger (SMC_NONE), drifting weakly into supply with a deep/fragile demand floor",0.9,REVIEW_RISK,
