bar_idx,episode_id,decision,direction,confidence,setup_type,realR,exitype,decisive_reason
55,E30,REVIEW,LONG,48,bottom_reversal,0.97,SCRATCH,"Oversold pullback with fresh bullish CHoCH and low legpos, but demand is 4.4 ATR away (not a defended reclaim) and supply overhead blocks the 2ATR target with a wide 4.5ATR SL — convergence is partial."
78,,SKIP,NONE,35,bull_pullback,-1.1,STOP_LOSS,"Mid-leg extension (legpos30 95) into nearby D1 supply at 1.77 ATR after a 3+ ATR rise — no capitulation/bottom, no convergent edge for a long."
116,,REVIEW,LONG,52,demand_reclaim,-1.1,STOP_LOSS,"Tight V_REVERSAL demand reclaim with below-VAL acceptance and a SELL-bubble at the low, but the reclaim candle is still red and supply caps the 2ATR target at 1.63 ATR — needs human confirmation of the turn."
130,,REVIEW,LONG,50,demand_reclaim,0.79,WIN_BE,"Defended V_REVERSAL demand at 1.37 ATR with bullish CHoCH, but supply blocks the 2ATR target at 1.54 ATR and the reclaim candle is still red — tight risk/reward needs discretionary read."
140,,TAKE,LONG,63,demand_reclaim,-1.1,STOP_LOSS,"Bullish reclaim candle landing right on a defended 4H demand (0.06 ATR) after a 24pt RSI flush, with very tight 0.8ATR V_REVERSAL SL and fresh bullish CHoCH — textbook demand_reclaim convergence despite overhead being the only caveat."
149,,TAKE,LONG,66,bottom_reversal,2.7,WIN_HELD,"Deep oversold capitulation (RSI min 28, drop20 3.9) with low legpos, SELL-bubble absorption at the low, bullish reclaim and tight V_REVERSAL SL while supply does NOT block the target — strong bottom_reversal convergence."
159,E27,REVIEW,LONG,54,demand_reclaim,2.83,WIN_HELD,"Defended D1 demand at 0.29 ATR with clear target room and mid legpos, but the reclaim is weak (body +0.07) on very low volume with no absorption bubbles — partial convergence warranting human review."
217,,SKIP,NONE,15,late_top,0.75,SCRATCH,"Classic TOP_EXHAUSTION: legpos90 94, RSI 75 blow-off, 9.3x volume climax with 8 LARGE buy bubbles and F_STRICT True — never long here; the only directional read would be a late SHORT but structure not yet broken."
237,E34,REVIEW,LONG,40,bull_pullback,-1.1,STOP_LOSS,Tight demand touch in an overbought macro (rsi_1d 77.5) amid an extreme ATR spike (2.71x) — the tight SL is appealing but buying into D1 overbought with a weak reclaim is the should-not-long profile.
287,E15,SKIP,NONE,25,late_top,-1.1,STOP_LOSS,"Buying-climax top (5 LARGE buy bubbles, rsi_1d 70, legpos 73) running straight into D1 supply at 0.22 ATR with a bearish BOS — long target is capped immediately; this is the should-not-long late-top signature."
