plot_id,datetime,set,votes,macro,auction,volumetry,risk,risk_axis,agent_policy,deterministic_policy,agree,FINAL_policy,structural_read,why,macro_context,auction_state,what_residual
S1,2020-04-07,A,1T/2R/1S,TAKE,SKIP,REVIEW,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:BULL_PULLBACK_CONTINUATION,convergência mista (1T/2R/1S),MACRO_RANGE/BULL,BULL_PULLBACK_CONTINUATION,
S3,2020-06-15,A,3T/1R/0S,TAKE,REVIEW,TAKE,TAKE,NO,TAKE_CANDIDATE,REVIEW,NO,TAKE_CANDIDATE,BULL:RANGE_MACRO_BULL_RECLAIM,"convergência forte (3/4 TAKE), risco operável",MACRO_CORRECTIVE_PULLBACK/BULL,RANGE_MACRO_BULL_RECLAIM,
S4,2020-07-02,A,3T/1R/0S,TAKE,REVIEW,TAKE,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:RANGE_MACRO_BULL_RECLAIM,"convergência forte (3/4 TAKE), risco operável",MACRO_BULL_LEG/BULL,RANGE_MACRO_BULL_RECLAIM,
S5,2020-07-23,A,1T/3R/0S,TAKE,REVIEW,REVIEW,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:NO_OVERHEAD_MARKUP,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,
S6,2020-07-30,A,2T/2R/0S,TAKE,REVIEW,REVIEW,TAKE,NO,REVIEW,TAKE_CANDIDATE,NO,REVIEW,BULL:RANGE_MACRO_BULL_RECLAIM,convergência parcial (2 TAKE / 2 REVIEW),MACRO_BULL_LEG/BULL,RANGE_MACRO_BULL_RECLAIM,
S7,2020-11-02,A,2T/2R/0S,REVIEW,REVIEW,TAKE,TAKE,NO,REVIEW,SKIP_STRUCTURAL,NO,REVIEW,RISK:BEAR_BOUNCE_RISK,convergência parcial (2 TAKE / 2 REVIEW),MACRO_RANGE/BEAR,BEAR_BOUNCE_RISK,
S8,2021-04-06,A,1T/3R/0S,REVIEW,REVIEW,REVIEW,TAKE,NO,REVIEW,REVIEW,YES,REVIEW,RISK:CORRECTIVE_BEAR_LEG,convergência mista (1T/3R/0S),MACRO_RANGE/BEAR,CORRECTIVE_BEAR_LEG,
S9,2021-05-12,C,0T/2R/2S,REVIEW,SKIP,SKIP,REVIEW,YES,SKIP_STRUCTURAL,REVIEW,NO,SKIP_STRUCTURAL,RISK:CORRECTIVE_BEAR_LEG,entrada estruturalmente incompleta (2 lentes SKIP: sob-supply + rejeição de valor),MACRO_BULL_LEG/TRANSITION,CORRECTIVE_BEAR_LEG,
S10,2021-05-14,C,1T/3R/0S,REVIEW,REVIEW,REVIEW,TAKE,NO,REVIEW,TAKE_CANDIDATE,NO,REVIEW,BULL:MACRO_BULL_RUN_CONTINUATION,convergência mista (1T/3R/0S),MACRO_BULL_LEG/TRANSITION,MACRO_BULL_RUN_CONTINUATION,
S12,2022-02-08,A,2T/2R/0S,TAKE,REVIEW,TAKE,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:MACRO_BULL_RUN_CONTINUATION,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_TRANSITION/TRANSITION,MACRO_BULL_RUN_CONTINUATION,
S13,2022-07-21,A,0T/3R/1S,SKIP,REVIEW,REVIEW,REVIEW,YES,SKIP_STRUCTURAL,SKIP_STRUCTURAL,YES,SKIP_STRUCTURAL,RISK:BEAR_BOUNCE_RISK,macro-bear-markdown + sem reclaim limpo de auction (contexto bear genuíno),MACRO_BEAR_LEG/BEAR,BEAR_BOUNCE_RISK,
S14,2022-11-01,C,1T/1R/2S,SKIP,SKIP,TAKE,REVIEW,YES,SKIP_STRUCTURAL,SKIP_STRUCTURAL,YES,SKIP_STRUCTURAL,RISK:BEAR_BOUNCE_RISK,macro-bear-markdown + sem reclaim limpo de auction (contexto bear genuíno),MACRO_RANGE/BEAR,BEAR_BOUNCE_RISK,
S15,2022-11-04,A,1T/1R/2S,SKIP,SKIP,REVIEW,TAKE,NO,SKIP_STRUCTURAL,SKIP_STRUCTURAL,YES,SKIP_STRUCTURAL,RISK:BEAR_BOUNCE_RISK,macro-bear-markdown + sem reclaim limpo de auction (contexto bear genuíno),MACRO_RANGE/BEAR,BEAR_BOUNCE_RISK,
S16,2022-11-23,A,0T/3R/1S,REVIEW,SKIP,REVIEW,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:RANGE_MACRO_BULL_RECLAIM,convergência mista (0T/3R/1S),MACRO_TRANSITION/TRANSITION,RANGE_MACRO_BULL_RECLAIM,
S17,2023-01-03,A,2T/2R/0S,TAKE,REVIEW,REVIEW,TAKE,NO,REVIEW,REVIEW,YES,REVIEW,BULL:BULL_PULLBACK_CONTINUATION,convergência parcial (2 TAKE / 2 REVIEW),MACRO_BULL_LEG/BULL,BULL_PULLBACK_CONTINUATION,
S18,2023-01-11,C,4T/0R/0S,TAKE,TAKE,TAKE,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:NO_OVERHEAD_MARKUP,"convergência forte (4/4 TAKE), risco operável",MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,
S19,2023-08-22,C,1T/1R/2S,SKIP,SKIP,TAKE,REVIEW,YES,SKIP_STRUCTURAL,SKIP_STRUCTURAL,YES,SKIP_STRUCTURAL,RISK:BEAR_BOUNCE_RISK,macro-bear-markdown + sem reclaim limpo de auction (contexto bear genuíno),MACRO_RANGE/BEAR,BEAR_BOUNCE_RISK,
S20,2023-10-11,A,1T/2R/1S,REVIEW,SKIP,REVIEW,TAKE,NO,REVIEW,REVIEW,YES,REVIEW,BULL:RANGE_MACRO_BULL_RECLAIM,convergência mista (1T/2R/1S),MACRO_TRANSITION/TRANSITION,RANGE_MACRO_BULL_RECLAIM,
S21,2023-10-17,C,1T/3R/0S,REVIEW,REVIEW,TAKE,REVIEW,YES,REVIEW,TAKE_CANDIDATE,NO,REVIEW,BULL:MACRO_BULL_RUN_CONTINUATION,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_TRANSITION/TRANSITION,MACRO_BULL_RUN_CONTINUATION,
S22,2023-11-29,C,1T/3R/0S,TAKE,REVIEW,REVIEW,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:NO_OVERHEAD_MARKUP,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_RANGE/BULL,NO_OVERHEAD_MARKUP,
S23,2024-05-13,C,2T/2R/0S,TAKE,REVIEW,REVIEW,TAKE,NO,REVIEW,REVIEW,YES,REVIEW,BULL:MACRO_BULL_RUN_CONTINUATION,convergência parcial (2 TAKE / 2 REVIEW),MACRO_CORRECTIVE_PULLBACK/BULL,MACRO_BULL_RUN_CONTINUATION,
S24,2024-07-03,A,3T/1R/0S,TAKE,REVIEW,TAKE,TAKE,NO,TAKE_CANDIDATE,REVIEW,NO,TAKE_CANDIDATE,BULL:RANGE_MACRO_BULL_RECLAIM,"convergência forte (3/4 TAKE), risco operável",MACRO_RANGE/TRANSITION,RANGE_MACRO_BULL_RECLAIM,
S25,2024-08-15,A,1T/3R/0S,TAKE,REVIEW,REVIEW,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:MACRO_BULL_RUN_CONTINUATION,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_RANGE/BULL,MACRO_BULL_RUN_CONTINUATION,
S26,2024-09-04,A,1T/1R/2S,TAKE,SKIP,SKIP,REVIEW,YES,SKIP_STRUCTURAL,REVIEW,NO,SKIP_STRUCTURAL,RISK:CORRECTIVE_BEAR_LEG,entrada estruturalmente incompleta (2 lentes SKIP: sob-supply + rejeição de valor),MACRO_RANGE/BULL,CORRECTIVE_BEAR_LEG,
S27,2025-05-28,A,2T/2R/0S,TAKE,REVIEW,REVIEW,TAKE,NO,REVIEW,SKIP_STRUCTURAL,NO,REVIEW,RISK:CORRECTIVE_BEAR_LEG,convergência parcial (2 TAKE / 2 REVIEW),MACRO_CORRECTIVE_PULLBACK/BULL,CORRECTIVE_BEAR_LEG,
S28,2025-07-11,C,2T/2R/0S,REVIEW,REVIEW,TAKE,TAKE,NO,REVIEW,REVIEW,YES,REVIEW,BULL:BULL_PULLBACK_CONTINUATION,convergência parcial (2 TAKE / 2 REVIEW),MACRO_CORRECTIVE_PULLBACK/TRANSITION,BULL_PULLBACK_CONTINUATION,
