episode_id,chart_label,timestamp,visual_category,reason,q_aceitou_acima_supply,q_polaridade_defendida,q_reclaim_segurou,q_bull_ou_bear_leg,q_valor_ou_tardia,q_top_cluster_exaustao,q_supply_bloqueia_ou_absorvida,q_demanda_apoia,confirma_entrada,invalida_entrada,seems,visual_confirm,dist_pol_atr,nas_short_10
E1,E1 · SUP · D+,2020-03-23 22:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bear_leg,valor,sim,bloqueia(perto),apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.82,7.0
E2,E2 · SUP · D+,2020-05-04 06:00,SUPPLY_REJECTION,"supply colado + rejeição, sem aceitação",rejeitou/n_aceitou,não,falhou,bull/neutro,valor,sim,bloqueia(perto),apoia,(invalida) bateu supply e falhou,rejeição confirma topo,NAO_real,PENDING,0.38,8.0
E3,E3 · SUP · D+,2020-06-10 18:00,TOP_SWEEP_REJECTION,cluster TOP/NAS + sem aceitação,rejeitou/n_aceitou,não,falhou,bull/neutro,valor,sim,bloqueia(perto),apoia,(invalida) varreu topo e rejeitou,reverte para baixo após o sweep,NAO_real,PENDING,0.29,7.0
E4,E4 · SUP · UNK,2020-07-02 14:00,POLARITY_DEFENDED,segurou acima da polaridade,aceitou,sim,segurou,bull/neutro,valor,sim,bloqueia(perto),neutra,2-4 closes acima da polaridade; não perde o nível,close abaixo da polaridade nos próximos candles,BOM_real_candidato,PENDING,0.87,11.0
E5,E5 · SUP · D+,2020-07-30 22:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bull/neutro,valor,sim,bloqueia(perto),apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.08,9.0
E6,E6 · SUP · D+,2020-10-08 22:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bear_leg,valor,não,bloqueia(perto),apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.41,5.0
E7,E7 · SUP · D+,2020-10-14 10:00,BEAR_LEG_RECLAIM_TRAP,perna bear + reclaim não aceitou,rejeitou/n_aceitou,não,falhou,bear_leg,valor,sim,bloqueia(perto),apoia,(invalida a entrada) — sem confirmação válida em perna bear,continua a perna de baixa / LL,NAO_real,PENDING,0.92,6.0
E8,E8 · SUP · D+,2020-11-05 07:00,ACCEPTED_SUPPLY_BREAK,rompeu supply e aceitou acima,aceitou,sim,segurou,bull/neutro,valor,não,absorvida/rompida,apoia,fecha e segura acima da supply rompida; HH/HL,volta a fechar abaixo da supply/polaridade,BOM_real_candidato,PENDING,0.41,5.0
E9,E9 · SUP · D-,2020-11-08 23:00,BEAR_LEG_RECLAIM_TRAP,perna bear + reclaim não aceitou,rejeitou/n_aceitou,não,falhou,bear_leg,valor,não,bloqueia(perto),longe/ausente,(invalida a entrada) — sem confirmação válida em perna bear,continua a perna de baixa / LL,NAO_real,PENDING,0.4,2.0
E10,E10 · SUP · D+,2020-12-17 19:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bear_leg,valor,não,bloqueia(perto),apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.94,0
E11,E11 · SUP · UNK,2021-02-24 15:00,POLARITY_DEFENDED,segurou acima da polaridade,aceitou,sim,segurou,bear_leg,valor,sim,bloqueia(perto),neutra,2-4 closes acima da polaridade; não perde o nível,close abaixo da polaridade nos próximos candles,BOM_real_candidato,PENDING,0.73,8.0
E12,E12 · SUP · UNK,2021-03-25 14:00,POLARITY_DEFENDED,segurou acima da polaridade,aceitou,sim,segurou,bear_leg,valor,não,bloqueia(perto),neutra,2-4 closes acima da polaridade; não perde o nível,close abaixo da polaridade nos próximos candles,BOM_real_candidato,PENDING,0.52,5.0
E13,E13 · SKY · D+,2020-01-20 03:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bear_leg,valor,sim,longe/n/a,apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.69,8.0
E14,E14 · SKY · D-,2020-02-20 15:00,POLARITY_DEFENDED,segurou acima da polaridade,aceitou,sim,segurou,bull/neutro,valor,não,longe/n/a,longe/ausente,2-4 closes acima da polaridade; não perde o nível,close abaixo da polaridade nos próximos candles,BOM_real_candidato,PENDING,0.83,5.0
E15,E15 · SKY · D+,2020-03-09 06:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bull/neutro,valor,não,longe/n/a,apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.5,1.0
E16,E16 · SKY · D-,2020-03-31 06:00,TOP_SWEEP_REJECTION,cluster TOP/NAS + sem aceitação,rejeitou/n_aceitou,não,falhou,bull/neutro,valor,sim,longe/n/a,longe/ausente,(invalida) varreu topo e rejeitou,reverte para baixo após o sweep,NAO_real,PENDING,0.64,7.0
E17,E17 · SKY · D+,2020-04-01 14:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bear_leg,valor,sim,longe/n/a,apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.02,7.0
